,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
0,AZO,19.847751297742125,"AutoZone, Inc.",1870.719970703125,1864.5899658203125,496.19,0.27,503.44,1.46
2,DRE,4.498579417324934,Duke Realty Corporation,54.939998626708984,53.630001068115234,112.46,2.05,109.94,-2.24
7,EPAM,9.292795275627563,"EPAM Systems, Inc.",196.77999877929688,200.13999938964844,232.32,1.18,236.17,1.66
5,HD,31.787278190780256,"The Home Depot, Inc.",319.2799987792969,316.7900085449219,794.68,2.49,788.81,-0.74
6,INTU,11.927323871747255,Intuit Inc.,457.57000732421875,439.32000732421875,298.18,0.65,285.56,-4.23
3,LOW,0.44034657753813844,"Lowe's Companies, Inc.",223.89999389648438,222.2100067138672,11.01,0.05,11.11,0.91
1,PLD,4.568119032316556,"Prologis, Inc.",152.22000122070312,147.8300018310547,114.2,0.75,110.87,-2.92
4,ZTS,17.637806336923177,Zoetis Inc.,189.9499969482422,185.2899932861328,440.95,2.32,429.87,-2.51
