,Date,News Headline,Article Link,Source
0,2022-02-11 08:50,"OP Bancorp (OPBK) Is a Great Choice for ""Trend"" Investors, Here's Why",https://finance.yahoo.com/news/op-bancorp-opbk-great-choice-135001560.html,Zacks
1,2022-02-04 08:29,What Type Of Shareholders Make Up OP Bancorp's (NASDAQ:OPBK) Share Registry?,https://finance.yahoo.com/news/type-shareholders-op-bancorps-nasdaq-132914314.html,Simply Wall St.
2,2022-02-03 12:00,OP Bancorp (OPBK) Moves to Strong Buy: Rationale Behind the Upgrade,https://finance.yahoo.com/news/op-bancorp-opbk-moves-strong-170005372.html,Zacks
3,2022-01-27 19:52,CORRECTING and REPLACING OP Bancorp Declares Quarterly Cash Dividend of $0.10 per Share,https://finance.yahoo.com/news/op-bancorp-declares-quarterly-cash-221100468.html,Business Wire
4,2022-01-27 17:10,OP Bancorp Reports Record Net Income for Fourth Quarter 2021 of $9.1 Million and Diluted Earnings Per Share of $0.59,https://finance.yahoo.com/news/op-bancorp-reports-record-net-221000288.html,Business Wire
5,2021-12-29 12:00,OP Bancorp (OPBK) Upgraded to Strong Buy: What Does It Mean for the Stock?,https://finance.yahoo.com/news/op-bancorp-opbk-upgraded-strong-170005627.html,Zacks
6,2021-12-29 05:33,OP Bancorp (OPBK) Sees Hammer Chart Pattern: Time to Buy?,https://finance.yahoo.com/news/op-bancorp-opbk-sees-hammer-103310728.html,Zacks
7,2021-12-22 12:18,Best Income Stocks to Buy for December 22nd,https://finance.yahoo.com/news/best-income-stocks-buy-december-171805392.html,Zacks
8,2021-12-21 08:09,OP Bancorp's (NASDAQ:OPBK) investors will be pleased with their favorable 84% return over the last five years,https://finance.yahoo.com/news/op-bancorps-nasdaq-opbk-investors-130938369.html,Simply Wall St.
9,2021-11-06 08:48,"The Independent Director of OP Bancorp (NASDAQ:OPBK), Ock Kim, Just Bought 19% More Shares",https://finance.yahoo.com/news/independent-director-op-bancorp-nasdaq-124831499.html,Simply Wall St.
10,2021-11-05 12:02,Director Of Op Bancorp Makes $1.0M Buy,https://finance.yahoo.com/news/director-op-bancorp-makes-1-160216419.html,Benzinga
11,2021-11-04 07:11,OP Bancorp (NASDAQ:OPBK) Will Pay A Larger Dividend Than Last Year At US$0.10,https://finance.yahoo.com/news/op-bancorp-nasdaq-opbk-pay-111118452.html,Simply Wall St.
12,2021-11-03 12:00,OP Bancorp (OPBK) Upgraded to Strong Buy: Here's What You Should Know,https://finance.yahoo.com/news/op-bancorp-opbk-upgraded-strong-160004892.html,Zacks
13,2021-10-28 17:30,OP Bancorp Reports Net Income for Third Quarter 2021 of $8.3 Million and Diluted Earnings Per Share of $0.54,https://finance.yahoo.com/news/op-bancorp-reports-net-income-213000973.html,Business Wire
14,2021-10-18 14:15,Should You Be Adding OP Bancorp (NASDAQ:OPBK) To Your Watchlist Today?,https://finance.yahoo.com/news/adding-op-bancorp-nasdaq-opbk-181559566.html,Simply Wall St.
15,2021-08-18 10:55,What Is The Ownership Structure Like For OP Bancorp (NASDAQ:OPBK)?,https://finance.yahoo.com/news/ownership-structure-op-bancorp-nasdaq-145528200.html,Simply Wall St.
16,2021-08-17 10:14,Top Ranked Income Stocks to Buy for August 17th,https://finance.yahoo.com/news/top-ranked-income-stocks-buy-141402782.html,Zacks
17,2021-07-29 09:43,Top Ranked Income Stocks to Buy for July 29th,https://finance.yahoo.com/news/top-ranked-income-stocks-buy-134301278.html,Zacks
18,2021-07-22 17:00,OP Bancorp Reports Net Income for Second Quarter 2021 of $6.4 Million and Diluted Earnings Per Share of $0.42,https://finance.yahoo.com/news/op-bancorp-reports-net-income-210000990.html,Business Wire
19,2021-06-30 09:06,OP Bancorp (OPBK): Are Hedge Funds Right About This Stock?,https://finance.yahoo.com/news/op-bancorp-opbk-hedge-funds-130619093.html,Insider Monkey
20,2021-06-19 04:59,Increases to CEO Compensation Might Be Put On Hold For Now at OP Bancorp (NASDAQ:OPBK),https://finance.yahoo.com/news/increases-ceo-compensation-might-put-085957497.html,Simply Wall St.
21,2021-06-15 06:08,OP Bancorp (OPBK) Sees Hammer Chart Pattern: Time to Buy?,https://finance.yahoo.com/news/op-bancorp-opbk-sees-hammer-100810250.html,Zacks
22,2021-05-25 09:58,Top Ranked Income Stocks to Buy for May 25th,https://finance.yahoo.com/news/top-ranked-income-stocks-buy-135801507.html,Zacks
23,2021-05-10 10:44,"If You Had Bought OP Bancorp (NASDAQ:OPBK) Stock Five Years Ago, You Could Pocket A 87% Gain Today",https://finance.yahoo.com/news/had-bought-op-bancorp-nasdaq-144449070.html,Simply Wall St.
24,2021-05-03 07:56,Sail Through the Choppy Market With These 5 Low-Beta Stocks,https://finance.yahoo.com/news/sail-choppy-market-5-low-115611058.html,Zacks
25,2021-04-22 18:02,OP Bancorp Declares Quarterly Cash Dividend of $0.07 per Share,https://finance.yahoo.com/news/op-bancorp-declares-quarterly-cash-220200110.html,Business Wire
26,2021-04-22 18:00,OP Bancorp Reports First Quarter Result of 2021,https://finance.yahoo.com/news/op-bancorp-reports-first-quarter-220000447.html,Business Wire
27,2021-03-22 11:18,Top Ranked Income Stocks to Buy for March 22nd,https://finance.yahoo.com/news/top-ranked-income-stocks-buy-151803777.html,Zacks
28,2021-03-10 08:17,Texas Capital (TCBI) Reveals Plans to Fortify Balance Sheet,https://finance.yahoo.com/news/texas-capital-tcbi-reveals-plans-131701654.html,Zacks
29,2021-02-08 23:42,Analyst Forecasts For OP Bancorp (NASDAQ:OPBK) Are Surging Higher,https://finance.yahoo.com/news/analyst-forecasts-op-bancorp-nasdaq-044235957.html,Simply Wall St.
30,2021-02-05 00:13,"OP Bancorp (NASDAQ:OPBK) Looks Interesting, And It's About To Pay A Dividend",https://finance.yahoo.com/news/op-bancorp-nasdaq-opbk-looks-051348855.html,Simply Wall St.
31,2021-02-03 09:00,OP Bancorp to Acquire SBA Loan Portfolio,https://finance.yahoo.com/news/op-bancorp-acquire-sba-loan-140000340.html,Business Wire
32,2021-01-28 18:32,OP Bancorp Declares Quarterly Cash Dividend of $0.07 per Share,https://finance.yahoo.com/news/op-bancorp-declares-quarterly-cash-233200662.html,Business Wire
33,2021-01-28 18:30,OP Bancorp Reports Fourth Quarter and Year End Results For 2020,https://finance.yahoo.com/news/op-bancorp-reports-fourth-quarter-233000627.html,Business Wire
34,2020-12-17 02:42,What Kind Of Investors Own Most Of OP Bancorp (NASDAQ:OPBK)?,https://finance.yahoo.com/news/kind-investors-own-most-op-074250208.html,Simply Wall St.
35,2020-12-02 11:19,Where Do Hedge Funds Stand On OP Bancorp (OPBK)?,https://finance.yahoo.com/news/where-hedge-funds-stand-op-161937637.html,Insider Monkey
36,2020-11-02 07:23,Is It Smart To Buy OP Bancorp (NASDAQ:OPBK) Before It Goes Ex-Dividend?,https://finance.yahoo.com/news/smart-buy-op-bancorp-nasdaq-122357557.html,Simply Wall St.
37,2020-10-26 13:47,How Much Is OP Bancorp's (NASDAQ:OPBK) CEO Getting Paid?,https://finance.yahoo.com/news/much-op-bancorps-nasdaq-opbk-174741451.html,Simply Wall St.
38,2020-10-22 19:01,OP Bancorp Declares Quarterly Cash Dividend of $0.07 per Share,https://finance.yahoo.com/news/op-bancorp-declares-quarterly-cash-230100937.html,Business Wire
39,2020-10-22 19:00,OP Bancorp Reports Third Quarter Result of 2020,https://finance.yahoo.com/news/op-bancorp-reports-third-quarter-230000359.html,Business Wire
40,2020-09-30 18:15,OP Bancorp Appoints Sang Kyo Oh Chief Credit Officer,https://finance.yahoo.com/news/op-bancorp-appoints-sang-kyo-221500556.html,Business Wire
41,2020-09-30 18:15,OP Bancorp Announces a Four-Year Extension of Chief Executive Officers Employment Term,https://finance.yahoo.com/news/op-bancorp-announces-four-extension-221500885.html,Business Wire
42,2020-09-10 08:50,OP Bancorp Rewards Shareholders With Additional Buybacks,https://finance.yahoo.com/news/op-bancorp-rewards-shareholders-additional-125012964.html,Zacks
43,2020-09-09 16:30,OP Bancorp Announces Additional Stock Repurchase Program,https://finance.yahoo.com/news/op-bancorp-announces-additional-stock-203000955.html,Business Wire
44,2020-07-23 18:15,OP Bancorp (OPBK) Beats Q2 Earnings Estimates,https://finance.yahoo.com/news/op-bancorp-opbk-beats-q2-221510021.html,Zacks
45,2020-07-23 17:01,OP Bancorp Declares Quarterly Cash Dividend of $0.07 per Share,https://finance.yahoo.com/news/op-bancorp-declares-quarterly-cash-210100947.html,Business Wire
46,2020-07-23 17:00,OP Bancorp Reports Second Quarter Result of 2020,https://finance.yahoo.com/news/op-bancorp-reports-second-quarter-210000196.html,Business Wire
