no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,255882.26,34.28,11.8,8.36,4.64,18.8,20.89,23.83,3.92%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.17,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.42%,8.27%,23.03%,21.22%,34.53%,6.37%,0.8,2.83,1.87%,2.08%,3.18%,6.35%,20.56%,-2.17%,19.28%,-2.17%,41.14%,65.79,-0.46%,-0.19%,7452.24,1.01,144.03,-0.65%,7556586,2/2/2022 8:30:00 AM,148.05,12/10/2012,144.15,0.08%,69.0,90,1.23,144.03,140.19,135.88,119.61,102.05,147.22,12.0,2.79,57.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29867.82,18.37,12.23,1.78,0.14,121.98,8.43,16.62,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.56,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.90%,6.49%,13.66%,18.37%,33.34%,6.48%,0.47,3.14,1.98%,2.47%,2.78%,6.39%,14.89%,-1.80%,18.47%,-1.80%,40.50%,61.96,-0.42%,-0.01%,1087.02,1.01,141.5,-0.43%,1099296,2/2/2022 8:30:00 AM,153.5,4/4/1995,141.5,0.00%,63.0,89,1.2,141.5,138.17,133.42,123.28,100.71,144.22,13.0,8.48,55.0,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4036.6,16.43,16.0,5.48,4.77,0.66,39.97,,1.54%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.03,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-1.35%,8.56%,7.32%,15.35%,44.41%,13.94%,1.15,1.52,2.21%,2.82%,3.65%,8.96%,14.52%,-4.41%,27.28%,-4.41%,46.50%,58.67,-0.28%,-0.38%,440.9,1.69,57.2,-0.66%,746929,2/24/2022 4:30:00 PM,61.0,4/23/2004,57.2,0.00%,78.0,93,1.3,57.2,55.46,52.65,49.98,39.05,59.84,37.0,6.64,69.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,52503.22,9.69,11.61,0.32,1.1,0.82,19.45,17.28,2.07%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.59,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,1.63%,4.91%,10.00%,15.23%,39.98%,8.56%,1.33,1.92,3.11%,3.46%,3.53%,5.91%,13.31%,-2.85%,19.05%,-2.85%,48.80%,58.19,2.24%,-1.63%,5120.75,1.07,61.73,0.57%,5488007,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.73,0.00%,63.0,93,1.3,61.73,59.85,58.42,54.54,42.08,63.54,15.0,5.05,57.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1216.14,36.25,17.67,1.45,2.95,2.93,10.61,27.33,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-32.79%,61.40%,3.07%,5.29%,7.23,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,-3.43%,6.41%,30.40%,38.75%,44.73%,12.54%,0.7,1.11,3.38%,5.21%,2.59%,8.47%,26.04%,-4.20%,24.81%,-4.20%,55.00%,55.9,1.39%,-0.65%,267.73,3.07,26.21,0.73%,820992,,28.25,6/25/2014,26.21,0.00%,53.0,92,1.27,26.21,25.62,24.26,20.84,16.91,27.36,12.0,7.78,52.333333333333336,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1276.09,14.89,14.71,1.86,0.11,1.26,5.88,,1.84%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-25.49%,78.00%,-0.31%,1.61%,2.54,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,1.61%,5.82%,4.91%,28.85%,45.48%,1.06%,0.73,1.44,4.69%,3.88%,2.69%,3.07%,18.89%,-5.62%,14.05%,-5.62%,59.45%,55.79,1.19%,0.49%,194.74,0.88,39.12,1.69%,171936,2/15/2022 4:30:00 PM,44.5,2/20/1996,39.12,0.00%,69.0,95,1.37,39.12,38.18,38.04,32.94,24.91,41.45,16.0,13.75,60.0,True
789,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,934.71,,11.77,,1.08,2.65,5.04,17.21,,,-0.42,-831.20%,-3.49%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.73%,90.60%,-1.82%,2.61%,3.18,-1.70%,-5.50%,-35.90%,2.1,2.1,1.54,1.54,46.40%,4.10%,-2.20%,7.31%,21.53%,9.72%,22.14%,19.67%,12.76%,1.67,0.74,5.82%,4.32%,14.87%,14.32%,16.86%,-4.50%,29.34%,-4.50%,37.44%,75.59,-0.10%,-1.21%,389.65,1.05,19.53,-1.31%,408398,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.53,0.00%,69.0,80,1.08,19.53,17.18,17.13,16.73,14.21,20.45,14.0,21.2,54.333333333333336,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28415.44,,16.97,,1.38,1.47,6.56,58.71,2.47%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.71,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,-0.10%,8.94%,21.65%,42.49%,20.64%,20.99%,1.52,1.14,3.34%,4.35%,4.98%,11.24%,19.71%,-3.31%,27.87%,-3.31%,55.25%,62.16,0.31%,-1.39%,8712.53,0.58,29.11,-1.09%,5038953,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.11,0.00%,69.0,83,1.12,29.11,27.82,26.25,24.35,18.75,30.11,4.0,11.34,52.0,True
1278,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4234.81,43.92,11.5,3.7,1.17,5.3,23.66,,2.00%,81.90%,1.69,199.60%,11.24%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.49%,93.60%,0.77%,2.15%,2.99,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,6.76%,31.36%,25.83%,42.14%,46.67%,31.85%,1.56,2.27,2.70%,3.80%,16.85%,24.95%,30.56%,-1.03%,45.04%,-1.03%,55.70%,77.38,0.86%,-0.33%,404.3,1.3,74.1,0.53%,524490,1/31/2022 4:30:00 PM,75.0,8/23/1968,74.1,0.00%,69.0,94,1.34,74.1,64.34,59.66,56.81,47.59,74.87,7.0,1.21,56.666666666666664,True
1343,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,953.28,33.03,5.72,,0.75,2.05,5.88,6.02,,0.00%,0.87,-113.30%,-25.52%,-15.30%,,-6.50%,,25.70%,34.48,33.72,1.90%,0.00%,85.30%,4.24%,4.81%,3.6,1.40%,6.60%,2.50%,0.7,0.6,1.34,1.46,91.90%,6.50%,2.90%,-8.54%,31.45%,21.83%,42.01%,155.55%,26.82%,2.48,1.68,4.62%,6.42%,14.04%,19.48%,27.87%,-9.29%,50.71%,-20.51%,232.95%,61.68,0.17%,-1.34%,450.41,0.49,28.8,-1.17%,220400,2/8/2022 8:30:00 AM,33.33,11/14/2017,28.8,0.00%,69.0,99,2.45,28.8,25.67,24.24,22.6,8.65,36.23,31.0,15.73,66.33333333333333,True
