no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,22916.14,10.32,10.49,,4.72,1.06,1.45,,2.93%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.74,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-2.24%,2.09%,6.20%,25.77%,23.15%,12.70%,1.47,1.57,2.58%,2.89%,-0.00%,4.11%,11.65%,-6.58%,22.25%,-6.58%,34.62%,50.22,0.47%,-0.17%,4760.08,0.8,53.25,0.30%,3803841,1/19/2022 8:30:00 AM,60.53,9/24/2014,53.25,0.00%,69.0,84,1.13,53.25,53.38,51.26,47.71,39.56,57.0,12.0,13.67,55.0,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10431.88,25.64,18.21,1.64,1.87,3.88,57.32,28.57,0.51%,0.00%,7.69,141.20%,-10.52%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.17%,85.10%,0.77%,1.72%,2.72,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-1.50%,14.52%,5.78%,19.91%,76.21%,10.40%,,6.76,2.49%,3.76%,1.05%,8.36%,15.58%,-5.41%,27.89%,-5.41%,87.06%,55.11,-1.39%,0.02%,267.78,1.41,197.2,-1.37%,376925,1/18/2022 4:30:00 PM,215.67,11/24/2020,197.2,0.00%,100.0,97,1.55,197.2,196.53,182.39,170.84,105.42,208.48,14.0,9.37,70.33333333333333,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3228.12,3.16,7.45,,0.89,1.24,4.42,,,0.00%,16.22,8.30%,23.06%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,73.64,1.60%,-12.46%,89.10%,0.04%,3.36%,2.66,6.20%,48.30%,4.00%,,,3.15,3.98,,47.80%,39.80%,4.10%,19.25%,22.55%,34.07%,69.28%,23.14%,1.6,1.7,2.83%,3.86%,19.52%,21.19%,30.88%,-2.10%,36.75%,-2.10%,78.91%,76.0,-0.43%,-0.83%,930.14,0.98,51.24,-1.25%,912326,2/11/2022 8:30:00 AM,51.86,3/28/2012,51.3,0.12%,66.0,97,1.52,51.24,43.33,42.48,39.24,29.0,52.34,18.0,1.21,60.333333333333336,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116181.99,14.77,11.42,8.32,2.54,2.71,11.05,54.62,1.70%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.09,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-4.16%,4.67%,23.60%,70.32%,76.65%,24.18%,1.45,3.05,2.37%,3.51%,-0.36%,9.86%,33.14%,-5.58%,36.06%,-5.58%,89.18%,54.32,0.02%,-1.70%,8177.88,0.8,89.63,-1.68%,6572873,2/3/2022 8:30:00 AM,99.98,1/13/1978,89.9,0.30%,75.0,98,1.66,89.63,90.3,81.96,67.63,47.51,94.93,13.0,11.55,62.0,True
1666,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,819.03,10.44,11.47,1.31,3.74,1.49,2.3,34.7,3.38%,46.90%,2.83,-35.00%,13.51%,-1.20%,8.00%,6.40%,202.80%,12.00%,27.97,27.29,0.40%,-0.05%,91.90%,1.83%,2.07%,3.24,0.80%,10.20%,28.00%,,,0.19,0.19,,87.70%,25.50%,-0.07%,1.54%,6.55%,15.67%,32.26%,5.08%,1.21,0.8,2.34%,2.80%,1.20%,2.68%,9.56%,-4.42%,12.25%,-4.42%,40.68%,53.64,1.75%,-0.61%,173.9,0.48,29.6,1.13%,83157,1/26/2022 8:30:00 AM,32.67,8/28/1987,29.6,0.00%,78.0,90,1.23,29.6,29.28,28.87,27.02,21.25,30.97,9.0,10.37,59.0,True
1677,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,10439.35,18.77,10.21,0.34,1.95,3.66,40.0,15.33,,0.00%,3.61,72.10%,10.65%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.01,0.70%,-39.53%,91.90%,0.28%,3.64%,2.89,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,1.03%,24.86%,5.28%,24.81%,43.70%,4.47%,2.52,3.08,3.17%,5.20%,7.00%,8.29%,18.15%,-6.30%,31.80%,-6.30%,56.03%,57.53,-0.38%,-0.10%,1808.8,0.87,67.81,-0.48%,1574496,2/2/2022 8:30:00 AM,84.76,12/15/2011,67.81,0.00%,66.0,94,1.33,67.81,64.08,62.65,57.44,44.25,72.37,18.0,25.0,59.333333333333336,True
1747,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1894.38,27.62,15.18,,1.84,4.25,8.43,18.45,1.70%,47.00%,2.13,-28.70%,8.39%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,99.70%,0.45%,4.44%,5.17,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,-3.14%,5.01%,12.46%,24.08%,25.40%,2.13%,0.86,1.57,2.14%,2.93%,1.27%,2.20%,17.01%,-4.43%,9.02%,-4.43%,38.21%,52.87,-0.99%,-0.13%,271.35,0.64,58.85,-1.13%,174996,2/1/2022 4:30:00 PM,66.0,2/28/1996,58.85,0.00%,100.0,86,1.15,58.85,58.24,57.66,50.36,42.58,61.58,19.0,12.15,68.33333333333333,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17525.1,25.85,6.63,0.35,10.42,3.88,229.69,58.75,1.99%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.47,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-6.30%,12.78%,8.76%,61.75%,27.18%,18.89%,-0.2,0.89,3.39%,3.98%,2.05%,6.80%,20.60%,-7.38%,22.84%,-7.38%,63.34%,53.7,0.36%,-1.23%,8157.21,0.83,22.59,-0.88%,6763625,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.63,0.18%,59.0,81,1.09,22.59,22.3,21.19,19.08,14.28,24.39,30.0,21.82,56.666666666666664,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,252059.73,16.4,14.46,,1.62,1.88,41.79,,4.02%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-63.37%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-3.88%,3.87%,16.57%,41.48%,35.60%,13.69%,1.17,3.21,1.81%,2.50%,-0.56%,5.85%,20.56%,-4.32%,20.49%,-4.32%,43.68%,53.17,0.76%,-0.90%,12430.74,0.86,133.42,-0.14%,10684092,1/28/2022 8:30:00 AM,141.05,6/24/1921,133.57,0.11%,63.0,91,1.25,133.42,134.5,126.34,110.79,92.86,139.44,12.0,5.72,55.333333333333336,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,63019.54,21.58,10.47,0.29,4.06,2.98,14.68,12.49,2.69%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.5,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-4.39%,7.85%,27.44%,77.16%,74.99%,25.66%,1.82,4.07,2.79%,3.80%,0.67%,11.66%,32.54%,-4.51%,38.37%,-4.51%,91.31%,57.06,0.95%,-1.80%,4424.25,0.75,111.62,-0.87%,3314693,2/25/2022 8:30:00 AM,116.55,10/4/1989,112.0,0.34%,69.0,97,1.6,111.62,111.43,100.56,86.06,60.79,116.89,18.0,4.42,61.333333333333336,True
2586,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,USA,12797.03,14.58,11.99,1.82,7.91,2.22,1.53,,1.48%,22.80%,6.1,-13.90%,13.95%,8.30%,8.00%,8.60%,40.20%,13.60%,141.88,140.8,0.60%,-0.38%,91.80%,0.89%,2.17%,3.2,1.30%,13.80%,21.00%,,,0.03,0.03,,86.50%,46.50%,-1.07%,4.29%,7.40%,24.48%,25.87%,13.03%,1.63,2.73,2.54%,3.24%,1.73%,6.06%,14.31%,-4.90%,23.59%,-4.90%,35.01%,53.59,-0.76%,-0.09%,954.69,0.82,88.93,-0.85%,781302,1/27/2022 8:30:00 AM,107.9,2/3/1999,88.93,0.00%,78.0,86,1.15,88.93,87.72,84.05,77.85,65.87,93.51,17.0,21.33,60.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,40640.46,24.37,18.55,1.52,1.17,1.2,13.74,,3.68%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.74,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-1.19%,2.46%,9.04%,18.28%,43.80%,1.08%,0.48,0.94,1.93%,2.56%,-0.23%,2.97%,15.43%,-5.43%,12.43%,-5.43%,52.21%,51.5,-0.86%,0.57%,10597.1,0.84,41.63,-0.29%,8933873,,50.78,7/6/1943,41.63,0.00%,66.0,92,1.27,41.63,41.79,40.51,36.12,27.35,44.02,18.0,21.98,58.666666666666664,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22913.91,68.23,7.42,1.12,4.13,2.07,50.14,7.97,1.52%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,-3.02%,7.84%,21.78%,92.83%,92.21%,21.90%,2.36,6.15,4.12%,5.11%,2.50%,10.02%,34.51%,-3.72%,38.36%,-3.72%,108.52%,56.93,2.71%,-1.30%,2898.8,0.98,131.47,1.37%,2854971,2/22/2022 4:30:00 PM,143.73,10/12/2012,131.5,0.02%,72.0,98,1.8,131.47,128.94,119.85,97.99,63.05,136.55,24.0,9.33,64.66666666666667,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33371.78,12.93,12.46,,6.4,1.65,0.88,,2.49%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.64%,3.45%,9.27%,28.20%,38.27%,10.75%,1.38,1.38,2.21%,2.99%,2.65%,4.85%,14.75%,-4.76%,19.47%,-4.76%,47.90%,54.73,0.12%,-0.04%,5380.0,1.13,48.23,0.08%,6053150,1/20/2022 8:30:00 AM,51.68,3/17/1980,48.23,0.00%,72.0,91,1.25,48.23,47.14,46.08,42.06,33.4,50.64,19.0,7.15,60.666666666666664,True
3161,GCO,Genesco Inc.,Consumer Cyclical,Apparel Retail,USA,997.55,6.75,9.4,0.67,0.43,1.62,3.53,4.57,,0.00%,9.91,-200.00%,5.02%,-24.20%,10.00%,-10.00%,333.50%,25.30%,14.31,13.71,2.30%,-0.01%,98.90%,-0.38%,7.99%,6.8,8.70%,24.60%,-8.60%,1.6,0.9,0.03,0.03,47.90%,5.80%,6.10%,0.56%,15.61%,-9.02%,7.89%,40.17%,4.19%,2.06,3.09,3.43%,5.10%,2.92%,5.85%,9.44%,-4.42%,18.97%,-9.31%,64.28%,54.61,2.12%,-1.36%,161.17,0.45,66.86,0.74%,72040,12/3/2021 8:30:00 AM,72.67,1/5/1950,66.86,0.00%,53.0,94,1.33,66.86,65.36,63.21,61.16,40.7,73.72,19.0,8.69,55.333333333333336,True
3168,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,1512.87,13.5,15.42,0.9,1.48,4.94,6.9,6.42,,0.00%,3.86,-241.30%,-34.75%,-40.10%,15.00%,31.40%,468.80%,37.50%,28.95,18.8,1.00%,-23.56%,63.00%,1.02%,4.47%,4.58,7.60%,54.30%,-5.20%,1.9,1.9,3.39,3.39,44.80%,12.70%,12.20%,-1.70%,19.86%,2.38%,14.89%,131.16%,3.21%,2.73,2.73,6.11%,5.53%,7.49%,8.40%,10.83%,-12.09%,26.98%,-12.09%,148.33%,55.48,-7.86%,-0.44%,183.67,2.66,52.15,-8.27%,488899,2/17/2022 4:30:00 PM,65.0,1/4/1999,52.15,0.00%,75.0,99,2.15,52.15,48.97,48.2,47.13,21.19,59.32,32.0,24.64,68.66666666666667,True
3471,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,809.63,11.87,11.12,1.48,3.8,1.32,0.96,5.69,2.99%,17.70%,2.26,30.00%,-11.98%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.40%,0.05%,90.90%,0.63%,1.62%,2.56,1.10%,11.50%,13.80%,,,0.35,0.35,,85.60%,32.20%,0.64%,5.30%,13.22%,42.40%,56.36%,13.18%,1.13,0.96,3.19%,3.94%,1.08%,7.29%,25.17%,-7.07%,25.88%,-7.07%,70.92%,56.13,1.40%,-0.60%,189.27,0.6,26.8,0.79%,112895,1/25/2022 4:30:00 PM,28.92,5/14/1997,26.8,0.00%,59.0,96,1.46,26.8,26.6,25.06,21.44,16.0,28.84,19.0,7.91,58.0,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,27925.39,51.95,16.6,,3.74,5.15,11.54,18.84,1.07%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-33.74%,85.50%,-0.71%,2.63%,2.83,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,-2.42%,5.51%,16.26%,45.94%,43.51%,26.80%,1.83,3.67,3.22%,4.28%,1.50%,10.10%,15.62%,-2.99%,37.40%,-2.99%,55.44%,57.25,0.94%,-1.27%,2588.39,0.96,93.87,-0.35%,2484886,1/26/2022 8:30:00 AM,111.5,5/24/1962,94.05,0.19%,63.0,94,1.33,93.87,92.79,85.53,81.25,60.85,96.76,9.0,18.78,55.333333333333336,True
3576,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24481.67,10.62,8.91,0.91,1.09,1.39,105.52,6.91,2.18%,22.60%,6.64,-16.20%,16.71%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-34.12%,94.20%,-0.02%,0.74%,1.37,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,-1.41%,-0.80%,0.04%,6.48%,38.21%,2.16%,1.02,1.88,2.45%,2.83%,-0.97%,0.38%,3.60%,-5.85%,8.29%,-9.77%,42.87%,47.41,0.33%,-0.45%,1812.09,0.72,70.53,-0.13%,1299488,2/3/2022 4:30:00 PM,82.5,12/15/1995,70.53,0.00%,66.0,92,1.27,70.53,71.28,70.3,68.1,49.47,78.17,14.0,16.97,57.333333333333336,True
3727,HWC,Hancock Whitney Corporation,Financial,Banks - Regional,USA,4846.88,12.75,10.15,1.59,4.78,1.31,1.35,9.07,1.97%,25.10%,4.3,-114.60%,2.56%,-18.40%,8.00%,9.30%,62.10%,-4.90%,86.83,86.04,0.60%,-0.99%,79.20%,0.30%,1.86%,3.68,1.10%,10.60%,26.10%,,,0.07,0.07,,95.20%,36.80%,1.48%,2.91%,5.99%,22.05%,41.57%,9.68%,1.51,1.89,3.07%,3.36%,0.98%,4.95%,13.30%,-8.29%,21.75%,-8.29%,50.76%,53.57,1.57%,0.13%,434.37,0.83,54.86,1.71%,361029,1/18/2022 4:30:00 PM,63.94,6/4/1991,54.86,0.00%,72.0,93,1.31,54.86,54.39,52.37,48.45,36.45,59.82,13.0,16.55,59.333333333333336,True
3728,HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,USA,915.38,18.52,,,1.28,3.14,39.12,41.8,1.19%,21.20%,2.37,44.80%,,35.00%,,7.60%,29.90%,30.90%,20.89,19.12,9.46%,0.00%,63.20%,1.27%,0.73%,2.61,10.30%,17.90%,11.30%,2.8,1.8,0.36,0.4,19.90%,9.60%,7.00%,9.30%,17.91%,22.22%,16.88%,40.69%,11.13%,0.92,1.48,3.05%,3.76%,11.64%,12.72%,22.51%,0.05%,23.79%,0.05%,49.52%,69.06,1.55%,-0.60%,53.73,1.56,43.84,0.94%,83757,2/2/2022 4:30:00 PM,52.0,3/18/1980,43.84,0.00%,69.0,92,1.28,43.84,39.61,39.02,35.83,29.32,43.96,20.0,18.61,60.333333333333336,True
