no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
2440,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,63319.87,20.74,10.09,0.28,4.08,2.86,14.75,12.55,2.80%,31.00%,5.17,-122.20%,23.15%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.82%,87.70%,-0.64%,1.14%,1.51,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-4.72%,-0.23%,17.97%,62.80%,72.20%,20.77%,1.8,4.72,5.08%,3.83%,-4.29%,5.35%,26.44%,-8.28%,32.99%,-8.28%,75.29%,46.79,-3.56%,1.04%,4399.15,2.3,107.28,-2.56%,10105892,2/25/2022 8:30:00 AM,117.52,10/4/1989,107.28,0.00%,69.0,96,1.44,107.28,111.96,102.27,86.59,62.81,116.97,18.0,9.55,61.0,True
2629,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41796.56,24.94,18.98,1.56,1.2,1.23,14.13,,3.59%,89.40%,1.71,-33.30%,-20.06%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.78%,82.50%,0.27%,1.89%,1.68,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,2.04%,7.26%,9.60%,22.47%,54.77%,3.43%,0.47,1.01,2.40%,2.59%,1.39%,4.72%,17.49%,-3.23%,15.05%,-3.23%,55.76%,59.61,3.05%,0.10%,10976.33,0.73,42.6,3.15%,7979175,,49.78,7/6/1943,42.68,0.19%,66.0,94,1.34,42.6,42.15,40.77,36.33,27.51,44.02,18.0,16.85,59.333333333333336,True
2640,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,31161.09,,18.76,,3.62,14.93,7.23,10.13,,,-2.14,90.50%,37.31%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,149.04,0.40%,-41.56%,97.80%,3.09%,4.89%,2.56,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,82.30%,4.20%,-3.10%,-4.48%,12.89%,13.25%,38.98%,24.18%,10.63%,1.52,9.42,4.59%,4.62%,3.12%,9.00%,18.88%,-8.17%,32.55%,-8.17%,46.18%,56.02,2.41%,0.77%,2842.62,1.07,199.93,3.19%,3035001,2/10/2022 4:30:00 PM,213.5,7/20/2005,200.0,0.03%,53.0,81,1.08,199.93,195.31,184.25,168.37,136.77,217.72,11.0,6.79,48.333333333333336,True
2670,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23818.02,69.16,7.38,1.13,4.3,2.1,52.12,8.28,1.50%,82.70%,1.93,269.40%,61.60%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.28,0.20%,-9.75%,87.70%,-1.39%,3.24%,1.97,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,2.76%,4.61%,16.70%,82.36%,92.36%,23.57%,2.33,6.89,6.10%,4.90%,2.90%,10.14%,35.05%,-2.40%,40.25%,-2.40%,104.18%,58.06,4.30%,-0.09%,2964.7,1.07,133.27,4.21%,3166192,2/22/2022 4:30:00 PM,145.85,10/12/2012,133.44,0.13%,72.0,98,1.67,133.27,129.75,121.58,98.95,65.27,136.55,25.0,9.44,65.0,True
2825,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,32854.61,12.9,12.39,,6.3,1.64,0.86,,2.50%,31.20%,3.73,-45.10%,13.85%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.9,0.20%,-6.59%,83.20%,-0.80%,1.57%,1.89,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.21%,7.34%,7.83%,23.94%,38.63%,10.42%,1.35,1.63,3.33%,2.90%,1.36%,3.84%,14.13%,-5.04%,19.12%,-5.04%,40.00%,53.21,3.93%,1.11%,5667.34,1.4,48.09,5.09%,7910662,1/20/2022 8:30:00 AM,51.68,3/17/1980,48.09,0.00%,72.0,89,1.2,48.09,47.64,46.41,42.17,34.35,50.64,18.0,7.47,59.666666666666664,True
3173,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,USA,62892.84,19.74,16.34,1.8,1.63,3.6,39.23,30.69,2.09%,40.20%,11.55,5.00%,15.10%,6.00%,10.95%,4.70%,-2.70%,-1.80%,278.27,260.82,0.10%,-0.74%,86.70%,-0.59%,0.89%,1.94,6.40%,20.30%,12.00%,1.4,1.0,0.61,0.67,16.70%,10.80%,8.50%,6.33%,11.25%,14.71%,14.52%,39.46%,9.36%,1.03,4.98,2.79%,2.18%,6.72%,8.49%,14.17%,3.58%,15.71%,3.58%,39.76%,75.96,4.31%,0.01%,1198.15,1.65,227.98,4.32%,1979017,1/26/2022 8:30:00 AM,238.53,4/25/1952,229.04,0.46%,63.0,90,1.21,227.98,214.59,210.63,199.89,163.12,228.14,28.0,4.63,60.333333333333336,True
3554,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,30311.17,53.97,16.46,,4.06,5.36,12.53,20.45,1.03%,,1.81,-641.90%,16.78%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.58,0.30%,-32.76%,84.30%,-2.02%,2.63%,2.69,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,3.52%,11.15%,19.44%,44.69%,48.82%,31.73%,1.81,3.88,4.01%,3.79%,4.25%,12.75%,19.75%,0.13%,42.74%,0.13%,57.47%,65.57,2.17%,0.20%,2717.21,0.84,97.52,2.37%,2283839,1/26/2022 8:30:00 AM,112.38,5/24/1962,97.65,0.13%,63.0,93,1.29,97.52,93.94,86.92,81.52,61.93,97.6,9.0,15.24,55.0,True
3583,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24107.48,10.65,8.94,0.91,1.08,1.39,103.91,6.81,2.18%,22.60%,6.64,-16.20%,17.04%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-33.39%,92.50%,-1.79%,0.74%,1.34,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,0.17%,0.73%,-1.09%,5.16%,39.55%,2.46%,1.02,2.18,3.02%,2.75%,-0.48%,0.52%,3.80%,-5.57%,8.61%,-9.50%,40.44%,50.3,4.09%,0.71%,1843.27,0.99,70.74,4.83%,1829487,2/3/2022 4:30:00 PM,82.5,12/15/1995,70.71,-0.04%,66.0,90,1.21,70.74,71.13,70.43,68.19,50.37,78.17,15.0,16.62,57.0,True
4865,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,41637.46,30.75,11.96,2.37,0.16,,15.12,10.36,0.68%,19.20%,8.96,-667.60%,-3.62%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.28%,88.90%,-2.55%,1.20%,1.67,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,0.74%,11.50%,21.84%,39.33%,62.45%,10.79%,0.71,6.8,2.42%,2.37%,2.80%,8.22%,27.39%,-2.60%,20.33%,-2.60%,62.62%,63.73,2.33%,0.94%,1056.54,1.01,275.38,3.29%,1071838,2/2/2022 4:30:00 PM,300.87,11/10/1994,275.38,0.00%,72.0,95,1.41,275.38,268.89,255.37,216.56,169.34,282.73,12.0,9.26,59.666666666666664,True
5063,MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,USA,18883.93,28.29,16.38,1.38,0.68,7.0,2.47,9.25,,0.00%,11.25,0.30%,13.35%,64.70%,20.52%,9.30%,208.60%,41.50%,58.4,57.88,0.10%,-8.63%,96.10%,-1.30%,1.50%,2.9,6.00%,27.20%,15.50%,1.4,1.4,0.91,0.0,14.60%,3.70%,2.40%,-0.47%,18.66%,3.69%,20.52%,46.86%,0.08%,0.77,10.67,3.56%,3.59%,5.12%,5.93%,14.31%,-2.98%,20.75%,-2.98%,52.16%,61.33,3.16%,0.34%,299.22,0.99,318.34,3.52%,296251,2/9/2022 4:30:00 PM,344.5,7/2/2003,319.74,0.44%,56.0,93,1.28,318.34,304.97,300.77,278.79,209.22,328.11,10.0,8.22,53.0,True
5086,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,47080.52,36.71,14.65,1.22,0.39,1.71,3.56,31.7,3.03%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.69%,74.70%,-6.08%,3.09%,2.67,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-0.55%,7.83%,18.57%,31.76%,40.13%,19.61%,1.91,2.49,3.36%,3.07%,-0.49%,7.22%,20.58%,-5.95%,27.65%,-5.95%,52.50%,54.15,1.81%,0.97%,6847.26,0.77,76.54,2.79%,5271675,2/2/2022 8:30:00 AM,85.33,6/23/2011,76.75,0.27%,75.0,90,1.22,76.54,77.15,71.67,63.56,50.19,81.39,16.0,11.48,60.333333333333336,True
5110,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,17049.99,17.99,12.13,,3.11,1.59,,8.31,1.10%,18.10%,1.22,165.50%,-22.34%,19.80%,-5.09%,10.10%,295.20%,120.40%,775.0,765.83,0.30%,-26.05%,72.60%,-3.36%,3.18%,1.29,5.40%,8.80%,7.50%,1.1,1.1,0.37,0.38,90.30%,21.60%,17.20%,-0.05%,11.58%,30.01%,89.93%,97.12%,33.25%,2.78,1.07,5.73%,4.65%,3.61%,16.13%,46.48%,-5.61%,53.07%,-5.61%,125.57%,61.37,1.20%,0.89%,18821.21,1.04,21.88,2.10%,19522869,2/16/2022 4:30:00 PM,22.76,11/26/1965,21.77,-0.50%,63.0,98,1.71,21.88,21.22,18.97,14.99,9.7,23.18,13.0,4.02,58.0,True
5144,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23656.63,13.27,12.66,2.61,6.01,1.46,0.54,11.91,2.62%,32.60%,13.79,38.80%,28.79%,12.10%,5.08%,0.20%,-4.30%,-7.70%,128.7,128.06,0.40%,-0.91%,88.70%,0.87%,4.86%,4.76,1.20%,11.40%,16.40%,,,0.22,0.22,,97.10%,45.10%,0.20%,9.10%,13.35%,30.96%,21.26%,19.18%,0.94,6.23,3.34%,2.78%,2.24%,8.07%,19.34%,-2.10%,29.36%,-2.10%,42.48%,57.22,4.66%,0.23%,1307.0,1.17,183.03,4.91%,1530112,1/20/2022 8:30:00 AM,188.91,3/17/1980,183.03,0.00%,53.0,78,1.05,183.03,179.72,170.04,153.49,128.46,186.95,17.0,3.21,49.333333333333336,True
5337,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11428.55,25.81,19.99,7.33,2.43,2.39,296.85,15.98,3.04%,76.00%,1.12,-121.70%,6.93%,-18.40%,3.52%,0.10%,123.60%,6.30%,393.2,391.12,0.30%,0.00%,98.10%,0.42%,4.10%,3.05,2.00%,9.20%,2.20%,0.7,0.4,1.92,2.02,73.90%,20.00%,9.50%,1.44%,6.04%,13.78%,17.00%,34.17%,4.96%,0.3,0.68,2.50%,2.32%,0.82%,3.65%,12.33%,-4.01%,10.86%,-4.01%,37.28%,58.51,1.05%,1.24%,5251.3,1.09,28.98,2.29%,5719945,2/23/2022 8:30:00 AM,30.5,12/19/1962,28.98,0.00%,72.0,88,1.17,28.98,28.8,28.02,25.82,21.11,30.19,17.0,5.24,59.0,True
5364,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,16693.32,18.18,15.0,1.47,6.07,,9.37,23.98,1.76%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.55,0.10%,-0.16%,99.70%,2.88%,4.60%,6.02,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,0.92%,12.27%,12.90%,6.51%,45.82%,9.51%,0.62,0.93,4.16%,3.49%,2.35%,6.24%,8.41%,-7.97%,18.17%,-7.97%,46.57%,55.62,4.17%,0.18%,4427.7,1.22,28.45,4.37%,5405490,2/3/2022 4:30:00 PM,29.26,6/23/1989,28.45,0.00%,66.0,92,1.27,28.45,27.96,26.86,26.26,19.41,30.92,14.0,2.85,57.333333333333336,True
5756,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,36456.67,,11.02,,1.63,3.98,17.71,5.89,0.10%,,-0.79,155.00%,61.88%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,931.85,0.10%,0.00%,73.10%,3.41%,3.75%,2.01,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,-2.81%,4.53%,21.02%,61.42%,45.58%,33.63%,2.09,2.01,5.28%,4.83%,-2.25%,10.81%,27.58%,-10.23%,48.71%,-10.23%,79.19%,52.57,-1.22%,0.77%,17391.34,1.71,38.74,-0.46%,29751870,2/24/2022 4:30:00 PM,44.08,7/2/1962,38.59,-0.39%,53.0,92,1.27,38.74,39.7,35.16,30.43,21.62,43.16,2.0,13.78,49.0,True
6253,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,55194.57,27.85,11.13,,3.09,2.41,76.13,24.26,1.00%,374.00%,8.23,-126.30%,-4.76%,7.50%,,19.50%,889.30%,167.20%,244.0,242.6,0.40%,-0.00%,88.50%,2.30%,2.46%,2.55,0.60%,1.00%,0.80%,0.6,0.6,0.29,0.3,52.60%,12.80%,1.10%,0.97%,9.37%,24.20%,62.52%,60.68%,27.76%,1.63,9.57,5.67%,3.92%,3.92%,12.90%,34.65%,-3.57%,39.17%,-3.57%,78.52%,61.87,2.87%,-0.00%,2342.91,1.12,229.28,2.86%,2629190,2/16/2022 4:30:00 PM,242.39,12/22/1987,229.28,0.00%,72.0,94,1.34,229.28,224.38,206.85,175.44,133.73,240.97,27.0,5.72,64.33333333333333,True
6472,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,23350.71,9.76,10.68,0.39,5.72,1.37,0.85,16.33,2.80%,24.30%,2.49,-31.50%,9.75%,6.30%,25.10%,3.40%,24.60%,-5.00%,955.0,949.44,0.10%,-2.49%,77.20%,0.50%,2.20%,2.09,1.60%,14.80%,12.30%,,,0.14,0.14,,,60.10%,1.63%,3.67%,-1.18%,18.20%,17.74%,11.42%,1.35,0.94,3.80%,3.23%,0.92%,3.87%,10.70%,-5.01%,19.95%,-5.01%,34.79%,52.83,4.20%,1.00%,9980.64,0.9,24.29,5.24%,8958464,1/20/2022 8:30:00 AM,26.86,3/17/1980,24.29,0.00%,59.0,76,1.02,24.29,24.14,23.43,21.95,18.02,25.57,20.0,10.58,51.666666666666664,True
6516,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,23410.22,15.49,12.44,1.81,2.24,2.69,2.85,11.01,1.21%,13.90%,7.25,71.00%,20.07%,22.20%,8.54%,12.40%,40.70%,24.70%,206.3,185.59,0.40%,-7.13%,74.90%,-2.39%,1.61%,2.39,2.50%,19.00%,3.20%,,,0.34,4.33,96.20%,18.60%,14.70%,3.04%,14.05%,9.55%,20.66%,44.28%,11.84%,1.1,3.73,3.69%,3.20%,2.51%,6.92%,17.70%,-4.33%,20.72%,-4.33%,47.93%,58.28,4.66%,0.11%,1247.84,1.31,112.29,4.78%,1629247,1/26/2022 4:30:00 PM,133.88,7/1/1983,114.79,2.23%,72.0,92,1.25,112.29,110.11,105.34,95.53,75.91,117.37,15.0,19.23,59.666666666666664,True
7683,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,34188.36,8.75,11.61,1.17,0.69,1.84,11.57,17.83,1.97%,16.80%,10.67,48.00%,-6.33%,13.00%,7.50%,5.00%,138.70%,23.60%,362.0,285.61,1.30%,-4.72%,85.80%,0.16%,1.19%,1.45,10.30%,21.60%,12.60%,1.7,0.9,0.45,0.51,15.30%,10.40%,7.50%,0.17%,3.08%,12.17%,19.55%,37.98%,7.12%,0.77,2.44,2.19%,2.34%,-0.09%,3.01%,15.11%,-7.30%,11.17%,-7.30%,38.70%,52.31,2.35%,1.00%,2343.79,0.9,93.37,3.37%,2118218,2/7/2022 8:30:00 AM,101.64,3/17/1980,93.89,0.56%,63.0,89,1.2,93.37,93.63,90.8,81.19,67.32,100.72,13.0,8.86,55.0,True
8070,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,34825.56,,11.64,,0.37,1.98,9.96,73.47,4.62%,,-1.09,-160.10%,4.88%,-19.50%,-13.80%,-5.90%,199.10%,86.70%,408.84,407.04,0.30%,-2.13%,79.40%,0.66%,3.13%,3.2,-2.50%,-7.60%,-2.10%,1.3,0.9,0.75,0.81,1.00%,-1.30%,-1.40%,-2.49%,4.39%,16.34%,29.65%,10.25%,12.99%,1.94,3.04,3.38%,3.52%,-2.24%,4.80%,13.48%,-9.49%,30.31%,-9.49%,44.21%,49.11,0.46%,0.76%,3983.29,0.82,84.87,1.23%,3265393,1/27/2022 8:30:00 AM,94.95,11/1/1984,84.87,0.00%,72.0,70,0.96,84.87,86.96,81.32,74.81,58.85,93.77,22.0,11.88,54.666666666666664,True
