no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29808.88,18.43,12.26,1.78,0.13,122.34,8.42,16.58,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.49%,65.70%,1.02%,1.13%,1.54,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.13%,8.71%,14.97%,21.50%,40.21%,6.80%,0.46,3.37,2.15%,2.35%,1.80%,5.57%,14.87%,-1.59%,16.11%,-1.59%,40.92%,59.85,1.93%,0.99%,1103.95,0.98,141.92,2.95%,1082041,2/2/2022 8:30:00 AM,153.92,4/4/1995,145.0,2.17%,63.0,90,1.22,141.92,139.77,134.8,123.66,100.71,144.22,13.0,8.46,55.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,52144.26,9.91,10.35,0.32,1.09,0.8,23.72,10.04,2.03%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,2.90%,9.60%,9.10%,16.92%,43.71%,11.08%,1.3,2.14,3.38%,3.15%,4.64%,7.36%,15.49%,-0.60%,21.81%,-0.60%,44.76%,61.66,3.90%,0.68%,5123.17,1.7,63.16,4.60%,8694481,2/16/2022 4:30:00 PM,65.62,4/3/1972,63.16,0.00%,63.0,92,1.25,63.16,60.7,59.0,54.75,43.63,63.54,14.0,3.89,56.333333333333336,True
690,AXP,American Express Company,Financial,Credit Services,USA,147721.31,19.38,17.06,0.56,3.45,6.71,6.93,12.68,0.89%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.35,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-1.02%,10.49%,12.88%,17.04%,43.21%,18.40%,1.11,5.52,3.01%,2.65%,2.46%,10.39%,14.16%,-2.93%,26.73%,-2.93%,44.79%,61.01,2.14%,0.70%,4290.77,1.26,193.71,2.85%,5424973,1/25/2022 8:30:00 AM,196.6,4/4/1972,193.6,-0.06%,56.0,91,1.24,193.71,190.14,176.09,169.89,133.79,199.55,13.0,1.49,53.333333333333336,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,30643.72,,17.1,,1.49,1.6,6.26,33.09,2.44%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.63,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.24%,7.19%,22.31%,32.29%,20.51%,22.61%,1.47,1.2,4.26%,4.04%,5.30%,11.40%,20.86%,-2.01%,29.58%,-2.01%,57.33%,62.13,3.15%,-0.42%,8797.38,0.81,29.5,2.72%,7088712,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.46,-0.14%,69.0,78,1.05,29.5,28.12,26.59,24.43,18.75,30.11,1.0,9.86,49.333333333333336,True
1576,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,49179.91,36.81,13.21,3.44,0.39,1.84,3.66,17.18,,0.00%,2.27,-0.60%,16.82%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.76,1.90%,-1.36%,95.30%,0.74%,1.04%,1.65,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,0.86%,10.86%,10.46%,31.36%,42.67%,1.36%,0.52,2.29,2.65%,2.76%,2.62%,3.13%,15.58%,-3.79%,12.16%,-3.79%,43.80%,57.1,3.92%,-0.58%,3643.64,0.56,83.52,3.32%,2055424,2/8/2022 8:30:00 AM,96.16,12/13/2001,83.52,0.00%,69.0,91,1.24,83.52,81.75,81.02,72.33,58.08,86.81,19.0,15.13,59.666666666666664,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,122435.05,15.04,11.72,8.47,2.67,2.64,22.37,13.15,1.67%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.07,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,0.12%,4.84%,22.31%,66.01%,75.97%,26.45%,1.43,3.44,4.42%,3.50%,0.70%,10.16%,34.30%,-3.86%,38.55%,-3.86%,91.27%,57.98,3.27%,0.74%,8236.54,1.28,91.27,4.04%,10542790,2/3/2022 8:30:00 AM,102.29,1/13/1978,91.27,0.00%,75.0,97,1.53,91.27,90.71,83.31,68.28,47.85,94.93,7.0,12.07,59.666666666666664,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18639.91,25.98,6.64,0.35,11.09,3.9,244.3,62.49,1.98%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.39,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-0.35%,12.04%,7.68%,59.41%,26.68%,19.53%,-0.21,1.03,5.47%,4.17%,0.08%,6.59%,20.50%,-6.89%,23.49%,-6.89%,64.21%,53.4,2.07%,0.04%,8364.85,1.09,22.71,2.11%,9149596,2/23/2022 4:30:00 PM,27.56,2/8/1990,22.71,0.00%,59.0,80,1.07,22.71,22.78,21.36,19.19,14.28,24.39,30.0,21.36,56.333333333333336,True
1836,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,137123.21,17.51,11.63,2.93,0.47,1.84,10.95,10.45,2.11%,33.30%,5.96,8.80%,8.32%,3.90%,5.97%,10.50%,30.60%,10.10%,1322.0,1310.21,0.10%,-21.74%,80.30%,1.27%,1.10%,2.14,3.40%,10.80%,7.80%,0.9,0.6,0.69,0.75,39.80%,4.40%,2.70%,1.96%,-0.53%,12.57%,25.62%,53.09%,1.11%,0.8,2.59,2.22%,2.28%,-1.08%,0.26%,14.91%,-6.25%,6.06%,-6.25%,53.34%,50.94,2.86%,0.63%,6741.41,0.97,104.3,3.50%,6572727,2/9/2022 8:30:00 AM,117.43,10/1/1952,104.37,0.07%,66.0,94,1.33,104.3,105.32,104.14,90.87,68.02,111.25,16.0,12.59,58.666666666666664,True
2069,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,30078.12,23.75,18.86,1.59,1.16,4.37,42.88,85.11,,0.00%,5.92,62.90%,33.25%,34.90%,14.90%,10.50%,-30.50%,3.90%,224.9,221.94,1.34%,-0.68%,97.00%,10.63%,1.89%,1.61,6.60%,19.00%,14.20%,1.3,0.2,0.45,0.45,29.80%,7.40%,5.30%,3.64%,10.26%,-4.04%,50.50%,43.27%,0.12%,0.75,4.32,4.28%,2.87%,3.62%,3.42%,24.89%,-2.61%,13.81%,-5.81%,66.97%,57.17,3.04%,0.30%,2605.49,0.81,140.69,3.35%,2105230,3/2/2022 8:30:00 AM,153.73,3/7/1995,140.6,-0.06%,53.0,92,1.25,140.69,136.4,136.06,112.8,84.26,149.37,10.0,9.27,51.666666666666664,True
2190,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,36978.48,13.2,9.9,1.23,3.1,3.93,16.28,10.4,0.80%,7.90%,4.18,161.70%,-1.38%,32.10%,10.72%,3.40%,,233.80%,660.0,641.02,0.80%,-2.20%,86.00%,-6.71%,2.69%,1.37,13.50%,31.90%,19.70%,1.4,1.4,0.73,0.73,49.00%,27.00%,23.40%,-0.09%,6.58%,26.54%,98.79%,172.68%,25.31%,2.85,2.91,5.99%,5.02%,4.71%,13.59%,54.27%,-4.88%,55.27%,-4.88%,189.39%,60.65,3.49%,1.12%,12623.94,1.0,55.2,4.64%,12584925,2/15/2022 4:30:00 PM,56.02,3/17/1992,55.2,0.00%,75.0,99,2.23,55.2,52.89,48.89,36.88,20.14,58.03,25.0,1.49,66.33333333333333,True
