,Date,News Headline,Article Link,Source
0,2022-02-17 16:45,ProPetro Announces Executive Chairmans Continued Transition,https://finance.yahoo.com/news/propetro-announces-executive-chairman-continued-214500444.html,Business Wire
1,2022-02-15 15:01,ProPetro Holding (PUMP) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,https://finance.yahoo.com/news/propetro-holding-pump-may-report-200108385.html,Zacks
2,2022-01-31 09:40,Are These Oils-Energy Stocks Undervalued Right Now?,https://finance.yahoo.com/news/oils-energy-stocks-undervalued-now-144002071.html,Zacks
3,2022-01-24 09:40,Are These Oils-Energy Stocks a Great Value Stocks Right Now?,https://finance.yahoo.com/news/oils-energy-stocks-great-value-144002004.html,Zacks
4,2022-01-20 17:00,ProPetro Announces Fourth Quarter 2021 Earnings Call,https://finance.yahoo.com/news/propetro-announces-fourth-quarter-2021-220000743.html,Business Wire
5,2022-01-17 09:21,Investors ignore increasing losses at ProPetro Holding (NYSE:PUMP) as stock jumps 11% this past week,https://finance.yahoo.com/news/investors-ignore-increasing-losses-propetro-142154367.html,Simply Wall St.
6,2021-12-02 11:31,Why Is ProPetro (PUMP) Down 15.8% Since Last Earnings Report?,https://finance.yahoo.com/news/why-propetro-pump-down-15-163104276.html,Zacks
7,2021-12-01 15:39,ProPetro (PUMP) Stock Down 14.2% Since Wider Loss Posted for Q3,https://finance.yahoo.com/news/propetro-pump-stock-down-14-203908275.html,Zacks
8,2021-11-22 17:28,"ProPetro, U.S. SEC settle charges on ex-CEO's undisclosed perks",https://finance.yahoo.com/news/propetro-u-sec-settle-charges-222857502.html,Reuters
9,2021-11-22 16:44,"UPDATE 3-ProPetro, U.S. SEC settle charges on ex-CEO's undisclosed perks",https://finance.yahoo.com/news/1-propetro-ex-ceo-settle-214407057.html,Reuters
10,2021-11-22 16:42,ProPetro Announces Settlement of Previously Disclosed Securities and Exchange Commission Matter,https://finance.yahoo.com/news/propetro-announces-settlement-previously-disclosed-214200516.html,Business Wire
11,2021-11-03 14:00,Propetro Holding Corp (PUMP) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/11/03/propetro-holding-corp-pump-q3-2021-earnings-call-t/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
12,2021-11-02 20:24,CORRECTING and REPLACING ProPetro Reports Financial Results for the Third Quarter of 2021,https://finance.yahoo.com/news/propetro-reports-financial-results-third-201500750.html,Business Wire
13,2021-11-02 17:55,"ProPetro Holding (PUMP) Reports Q3 Loss, Tops Revenue Estimates",https://finance.yahoo.com/news/propetro-holding-pump-reports-q3-215509313.html,Zacks
14,2021-10-26 15:02,Will ProPetro Holding (PUMP) Report Negative Earnings Next Week? What You Should Know,https://finance.yahoo.com/news/propetro-holding-pump-report-negative-190207474.html,Zacks
15,2021-10-06 13:05,ProPetro (PUMP) Orders 50 Tier IV DGB Pumping Unit for $74M,https://finance.yahoo.com/news/propetro-pump-orders-50-tier-170505583.html,Zacks
16,2021-10-05 06:30,ProPetro Announces Third Quarter 2021 Earnings Call,https://finance.yahoo.com/news/propetro-announces-third-quarter-2021-103000035.html,Business Wire
17,2021-09-29 06:30,ProPetro Announces Pricing Improvements and Additional Dual-Gas Lower Emissions Conversions,https://finance.yahoo.com/news/propetro-announces-pricing-improvements-additional-103000599.html,Business Wire
18,2021-09-02 11:31,ProPetro (PUMP) Up 12.2% Since Last Earnings Report: Can It Continue?,https://finance.yahoo.com/news/propetro-pump-12-2-since-153103456.html,Zacks
19,2021-08-19 12:54,ProPetro (PUMP) Stock Down 11.8% Since Wider Loss Posted for Q2,https://finance.yahoo.com/news/propetro-pump-stock-down-11-165404985.html,Zacks
20,2021-08-04 17:31,Propetro Holding Corp (PUMP) Q2 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/08/04/propetro-holding-corp-pump-q2-2021-earnings-call-t/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
21,2021-08-03 18:25,"ProPetro Holding (PUMP) Reports Q2 Loss, Tops Revenue Estimates",https://finance.yahoo.com/news/propetro-holding-pump-reports-q2-222510428.html,Zacks
22,2021-08-03 16:10,ProPetro Reports Financial Results for the Second Quarter of 2021,https://finance.yahoo.com/news/propetro-reports-financial-results-second-201000012.html,Business Wire
23,2021-07-29 15:53,Here is What Hedge Funds Think About ProPetro Holding Corp. (PUMP),https://finance.yahoo.com/news/hedge-funds-think-propetro-holding-195330725.html,Insider Monkey
24,2021-07-27 18:31,ProPetro appoints Sam Sledge as chief executive officer,https://finance.yahoo.com/news/propetro-appoints-sam-sledge-chief-223111953.html,Reuters
25,2021-07-27 17:30,ProPetro Announces Next Steps in Planned Executive Leadership Transition,https://finance.yahoo.com/news/propetro-announces-next-steps-planned-213000581.html,Business Wire
26,2021-07-27 15:03,ProPetro Holding (PUMP) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,https://finance.yahoo.com/news/propetro-holding-pump-expected-beat-190307540.html,Zacks
27,2021-07-19 08:54,Does This Valuation Of ProPetro Holding Corp. (NYSE:PUMP) Imply Investors Are Overpaying?,https://finance.yahoo.com/news/does-valuation-propetro-holding-corp-125430142.html,Simply Wall St.
28,2021-07-06 16:15,ProPetro Schedules Second Quarter 2021 Earnings Release Date and Conference Call,https://finance.yahoo.com/news/propetro-schedules-second-quarter-2021-201500156.html,Business Wire
29,2021-06-03 11:31,Why Is ProPetro (PUMP) Up 11.8% Since Last Earnings Report?,https://finance.yahoo.com/news/why-propetro-pump-11-8-153103343.html,Zacks
30,2021-06-03 05:13,Strength Seen in ProPetro (PUMP): Can Its 8.3% Jump Turn into More Strength?,https://finance.yahoo.com/news/strength-seen-propetro-pump-8-091309361.html,Zacks
31,2021-05-12 13:18,"ProPetro's (PUMP) Q1 Loss Wider Than Expected, Sales Miss",https://finance.yahoo.com/news/propetros-pump-q1-loss-wider-171805785.html,Zacks
32,2021-05-05 16:30,ProPetro Holding Corp. (PUMP) Q1 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/05/05/propetro-holding-corp-pump-q1-2021-earnings-call-t/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
33,2021-05-05 07:15,ProPetro Holding Corp. to Host Earnings Call,https://finance.yahoo.com/news/propetro-holding-corp-host-earnings-111500735.html,ACCESSWIRE
34,2021-05-04 17:35,"ProPetro Holding (PUMP) Reports Q1 Loss, Lags Revenue Estimates",https://finance.yahoo.com/news/propetro-holding-pump-reports-q1-213509921.html,Zacks
35,2021-05-04 16:15,ProPetro Reports Financial Results for the First Quarter of 2021,https://finance.yahoo.com/news/propetro-reports-financial-results-first-201500607.html,Business Wire
36,2021-04-20 16:15,ProPetro Schedules First Quarter 2021 Earnings Release Date and Conference Call,https://finance.yahoo.com/news/propetro-schedules-first-quarter-2021-201500781.html,Business Wire
37,2021-04-05 17:14,ProPetro Provides Leadership Team Update,https://finance.yahoo.com/news/propetro-provides-leadership-team-211400691.html,Business Wire
38,2021-03-25 11:30,Why Is ProPetro (PUMP) Down 8.2% Since Last Earnings Report?,https://finance.yahoo.com/news/why-propetro-pump-down-8-153003741.html,Zacks
39,2021-03-25 06:30,"ProPetro Holding Corp., Fluid Energy Group, and Solnexus Chemical Announce New Partnership for Enviro-Syn® Modified Acid and Synthetic Acid Technology in the Permian Basin",https://finance.yahoo.com/news/propetro-holding-corp-fluid-energy-103000413.html,Business Wire
40,2021-03-01 08:59,"ProPetro's (PUMP) Q4 Loss Narower Than Expected, Sales Miss",https://finance.yahoo.com/news/propetros-pump-q4-loss-narower-135901094.html,Zacks
41,2021-02-24 15:00,ProPetro Holding Corp. (PUMP) Q4 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/02/24/propetro-holding-corp-pump-q4-2020-earnings-call-t/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
42,2021-02-24 07:15,ProPetro Holding Corp. to Host Earnings Call,https://finance.yahoo.com/news/propetro-holding-corp-host-earnings-121500815.html,ACCESSWIRE
43,2021-02-24 07:15,PPD Inc to Host Earnings Call,https://finance.yahoo.com/news/ppd-inc-host-earnings-call-121500561.html,ACCESSWIRE
44,2021-02-23 16:37,ProPetro Reports Full Year and Fourth Quarter 2020 Results,https://finance.yahoo.com/news/propetro-reports-full-fourth-quarter-213700441.html,Business Wire
45,2021-02-22 10:18,Earnings Outlook For ProPetro Holding,https://finance.yahoo.com/news/earnings-outlook-propetro-holding-151826632.html,Benzinga
46,2021-02-15 04:19,Are Insiders Buying ProPetro Holding Corp. (NYSE:PUMP) Stock?,https://finance.yahoo.com/news/insiders-buying-propetro-holding-corp-091957352.html,Simply Wall St.
47,2021-01-21 10:43,ProPetro (PUMP) Provides Fourth-Quarter Preliminary Update,https://finance.yahoo.com/news/propetro-pump-provides-fourth-quarter-154303667.html,Zacks
48,2021-01-20 06:30,ProPetro Announces Preliminary Selected Unaudited Financial Data for Fourth Quarter 2020 and Investments in Lower Emissions Technology,https://finance.yahoo.com/news/propetro-announces-preliminary-selected-unaudited-113000968.html,Business Wire
49,2020-12-21 17:00,"ProPetro Names Adam Muñoz as Successor to David Sledge, Chief Operating Officer",https://finance.yahoo.com/news/propetro-names-adam-mu-oz-220000649.html,Business Wire
50,2020-12-21 17:00,ProPetro Announces New Appointment to Board of Directors,https://finance.yahoo.com/news/propetro-announces-appointment-board-directors-220000988.html,Business Wire
51,2020-12-17 14:49,Is PUMP A Good Stock To Buy Now?,https://finance.yahoo.com/news/pump-good-stock-buy-now-194937888.html,Insider Monkey
52,2020-12-15 08:05,RigNet's Intelie to Continue to Optimize Fracturing Operations at ProPetro Under New Contract Extension,https://finance.yahoo.com/news/rignets-intelie-continue-optimize-fracturing-130500647.html,PR Newswire
53,2020-12-02 11:30,ProPetro (PUMP) Up 50.7% Since Last Earnings Report: Can It Continue?,https://finance.yahoo.com/news/propetro-pump-50-7-since-163004900.html,Zacks
54,2020-11-17 01:50,How Much Did ProPetro Holding's(NYSE:PUMP) Shareholders Earn From Share Price Movements Over The Last Three Years?,https://finance.yahoo.com/news/much-did-propetro-holdings-nyse-065053315.html,Simply Wall St.
55,2020-11-06 10:33,ProPetro (PUMP) Down 7.4% on Wider-Than-Expected Q3 Loss,https://finance.yahoo.com/news/propetro-pump-down-7-4-153303597.html,Zacks
56,2020-11-03 07:15,ProPetro Holding Corp. to Host Earnings Call,https://finance.yahoo.com/news/propetro-holding-corp-host-earnings-121500301.html,ACCESSWIRE
57,2020-11-02 17:55,"ProPetro Holding (PUMP) Reports Q3 Loss, Lags Revenue Estimates",https://finance.yahoo.com/news/propetro-holding-pump-reports-q3-225510842.html,Zacks
58,2020-11-02 17:03,ProPetro Holding: Q3 Earnings Insights,https://finance.yahoo.com/news/propetro-holding-q3-earnings-insights-220352424.html,Benzinga
59,2020-11-02 16:15,ProPetro Reports Results for the Third Quarter 2020,https://finance.yahoo.com/news/propetro-reports-results-third-quarter-211500292.html,Business Wire
