,Date,News Headline,Article Link,Source
0,2022-02-07 13:38,"First City Capital Management, Inc. Buys Canadian Pacific Railway, Pinnacle Financial Partners ...",https://finance.yahoo.com/news/first-city-capital-management-inc-183811099.html,GuruFocus.com
1,2022-02-07 09:38,"Parthenon Llc Buys Eaton Corp PLC, Salesforce. ...",https://finance.yahoo.com/news/parthenon-llc-buys-eaton-corp-143827542.html,GuruFocus.com
2,2022-02-03 17:38,"Los Angeles Capital Management Llc Buys Booking Holdings Inc, McDonald's Corp, Adobe Inc, Sells ...",https://finance.yahoo.com/news/los-angeles-capital-management-llc-223806685.html,GuruFocus.com
3,2022-02-03 12:10,Will Dell Technologies (DELL) Beat Estimates Again in Its Next Earnings Report?,https://finance.yahoo.com/news/dell-technologies-dell-beat-estimates-171005481.html,Zacks
4,2022-02-02 17:38,"Vanguard Capital Wealth Advisors Buys VanEck Gold Miners ETF, ViacomCBS Inc, Uber Technologies ...",https://finance.yahoo.com/news/vanguard-capital-wealth-advisors-buys-223829567.html,GuruFocus.com
5,2022-02-02 10:30,Were Expert Investors Right About Dell Technologies Inc. (DELL)?,https://finance.yahoo.com/news/were-expert-investors-dell-technologies-153005123.html,Insider Monkey
6,2022-02-02 09:38,"Stonehage Fleming Financial Services Holdings Ltd Buys Sea, MercadoLibre Inc, iShares Genomics ...",https://finance.yahoo.com/news/stonehage-fleming-financial-services-holdings-143807194.html,GuruFocus.com
7,2022-02-01 09:38,"Providence First Trust Co Buys NVIDIA Corp, iShares iBoxx USD Investment Grade Corporate Bond , ...",https://finance.yahoo.com/news/providence-first-trust-co-buys-143824411.html,GuruFocus.com
8,2022-01-31 17:25,Plans unveiled for $2B Pearson Ranch mixed-use hub,https://www.bizjournals.com/austin/news/2022/01/31/pearson-ranch-mixed-use-williamson-county-austin.html?ana=yahoo,American City Business Journals
9,2022-01-31 13:38,"Trust Asset Management LLC Buys Arista Networks Inc, EPAM Systems Inc, Teradyne Inc, Sells ...",https://finance.yahoo.com/news/trust-asset-management-llc-buys-183825384.html,GuruFocus.com
10,2022-01-31 13:38,"Ardevora Asset Management LLP Buys Abbott Laboratories, Teradyne Inc, Palo Alto Networks Inc, ...",https://finance.yahoo.com/news/ardevora-asset-management-llp-buys-183822112.html,GuruFocus.com
11,2022-01-31 09:38,"Hussman Strategic Advisors, inc Buys Pfizer Inc, Regeneron Pharmaceuticals Inc, Invesco, Sells ...",https://finance.yahoo.com/news/hussman-strategic-advisors-inc-buys-143803386.html,GuruFocus.com
12,2022-01-28 17:38,"Lsv Asset Management Buys Dell Technologies Inc, Lockheed Martin Corp, Ryder System Inc, Sells ...",https://finance.yahoo.com/news/lsv-asset-management-buys-dell-223830044.html,GuruFocus.com
13,2022-01-27 17:38,"Investors Research Corp Buys SPDR Portfolio S&P 500 Growth ETF, VictoryShares Dividend ...",https://finance.yahoo.com/news/investors-research-corp-buys-spdr-223820098.html,GuruFocus.com
14,2022-01-25 21:38,"Hohimer Wealth Management, Llc Buys Dell Technologies Inc, Nexstar Media Group Inc, Fiserv Inc, ...",https://finance.yahoo.com/news/hohimer-wealth-management-llc-buys-023802594.html,GuruFocus.com
15,2022-01-25 17:38,"Montgomery Investment Management Inc Buys Pfizer Inc, APA Corp, CSX Corp, Sells American ...",https://finance.yahoo.com/news/montgomery-investment-management-inc-buys-223807436.html,GuruFocus.com
16,2022-01-24 17:38,"Private Wealth Strategies, L.L.C. Buys Global X Lithium & Battery Tech ETF, Health Care ...",https://finance.yahoo.com/news/private-wealth-strategies-l-l-223815268.html,GuruFocus.com
17,2022-01-24 13:38,"AustralianSuper Pty Ltd Buys ICL Group, Apple Inc, Taiwan Semiconductor Manufacturing Co, Sells ...",https://finance.yahoo.com/news/australiansuper-pty-ltd-buys-icl-183812201.html,GuruFocus.com
18,2022-01-24 05:15,The Return Trends At Dell Technologies (NYSE:DELL) Look Promising,https://finance.yahoo.com/news/return-trends-dell-technologies-nyse-101527369.html,Simply Wall St.
19,2022-01-23 21:02,iPhone Assembler Hon Hai Expects Unprecedented First Quarter,https://finance.yahoo.com/news/iphone-assembler-hon-hai-expects-080149380.html,Bloomberg
