,Date,News Headline,Article Link,Source
0,2022-01-04 09:20,Here's Why I Think Thryv Holdings (NASDAQ:THRY) Might Deserve Your Attention Today,https://finance.yahoo.com/news/heres-why-think-thryv-holdings-142052911.html,Simply Wall St.
1,2022-01-04 07:30,Thryv Chairman and CEO Joe Walsh to Participate in January 2022 Investor Conferences,https://finance.yahoo.com/news/thryv-chairman-ceo-joe-walsh-123000057.html,Business Wire
2,2021-12-22 07:30,Thryv Again Named Easiest to Use Small Business Software in G2 Winter Report,https://finance.yahoo.com/news/thryv-again-named-easiest-small-123000747.html,Business Wire
3,2021-12-15 00:38,"Royce Capital Fund Buys Thryv Holdings Inc, Barnes & Noble Education Inc, Fossil Group Inc, ...",https://finance.yahoo.com/news/royce-capital-fund-buys-thryv-053805928.html,GuruFocus.com
4,2021-12-13 14:57,IBD Screen Of The Day: Mutual Fund Buys Target These Stocks Near Buy Points,https://www.investors.com/research/mutual-fund-buys-target-these-stocks-near-buy-points-ibd-screen-of-the-day/?src=A00220,Investor's Business Daily
5,2021-12-06 07:30,Thryv CEO Joe Walsh Appointed Companys New Chairman of the Board,https://finance.yahoo.com/news/thryv-ceo-joe-walsh-appointed-123000360.html,Business Wire
6,2021-12-03 16:32,"Thryv, Inc. CEO Joe Walsh to Speak at the Barclays Global TMT Conference",https://finance.yahoo.com/news/thryv-inc-ceo-joe-walsh-213200778.html,Business Wire
7,2021-12-03 08:45,Those who invested in Thryv Holdings (NASDAQ:THRY) three years ago are up 280%,https://finance.yahoo.com/news/those-invested-thryv-holdings-nasdaq-134559388.html,Simply Wall St.
8,2021-11-18 10:30,Notable Thryv Holdings Insider Makes $1.6M Sale,https://finance.yahoo.com/news/notable-thryv-holdings-insider-makes-153059217.html,Benzinga
9,2021-11-18 07:30,Thryv to be Added to the S&P SmallCap 600® Index,https://finance.yahoo.com/news/thryv-added-p-smallcap-600-123000932.html,Business Wire
10,2021-11-18 06:49,3 Stocks Insiders Are Buying,https://finance.yahoo.com/news/3-stocks-insiders-buying-114903954.html,Benzinga
11,2021-11-17 18:33,Thryv Holdings Set to Join S&P SmallCap 600,https://finance.yahoo.com/news/thryv-holdings-set-join-p-233300330.html,PR Newswire
12,2021-11-16 07:30,Thryv CEO and President Joe Walsh Purchases Shares of Thryv Common Stock,https://finance.yahoo.com/news/thryv-ceo-president-joe-walsh-123000429.html,Business Wire
13,2021-11-12 07:30,"Thryv, Inc. CEO Joe Walsh and CFO Paul Rouse to Participate in Upcoming Investor Conferences",https://finance.yahoo.com/news/thryv-inc-ceo-joe-walsh-123000088.html,Business Wire
14,2021-11-12 03:00,"Thryv Holdings, Inc. (THRY) Q3 2021 Earnings Call Transcript",https://www.fool.com/earnings/call-transcripts/2021/11/12/thryv-holdings-inc-thry-q3-2021-earnings-call-tran/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
15,2021-11-11 07:30,Thryv Grows SaaS Revenue 41% Year-Over-Year for Third Quarter 2021,https://finance.yahoo.com/news/thryv-grows-saas-revenue-41-123000368.html,Business Wire
16,2021-11-10 11:28,"Was The Smart Money Right About Thryv Holdings, Inc. (THRY)?",https://finance.yahoo.com/news/smart-money-thryv-holdings-inc-162831657.html,Insider Monkey
