,Date,News Headline,Article Link,Source
0,2022-01-13 09:38,"Grassi Investment Management Buys Blackstone Inc, Medtronic PLC, Forward Industries Inc, Sells ...",https://finance.yahoo.com/news/grassi-investment-management-buys-blackstone-143803290.html,GuruFocus.com
1,2022-01-13 09:00,Divvy Homes taps Blackstone for C-suite exec amid rapid growth,https://www.bizjournals.com/sanfrancisco/news/2022/01/13/divvy-homes-taps-blackstone-for-c-suite-exec-amid.html?ana=yahoo,American City Business Journals
2,2022-01-13 08:30,Blackstone Tells U.S. Staff to Get Boosters or Stay Away,https://finance.yahoo.com/news/blackstone-tells-u-staff-boosters-000753829.html,Bloomberg
3,2022-01-12 20:14,Blackstone Increases Its Crown Resorts Takeover Bid to $6.5 Billion,https://finance.yahoo.com/news/blackstone-increases-crown-resorts-takeover-220024037.html,Bloomberg
4,2022-01-12 18:19,Houston oil and gas mineral rights co. formed via SPAC deal lines up new merger,https://www.bizjournals.com/houston/news/2022/01/12/falcon-minerals-corp-desert-peak-minerals-merger.html?ana=yahoo,American City Business Journals
5,2022-01-12 17:45,Blackstone Inc. (BX) Outpaces Stock Market Gains: What You Should Know,https://finance.yahoo.com/news/blackstone-inc-bx-outpaces-stock-224510532.html,Zacks
6,2022-01-12 17:38,"Ayrshire Capital Management LLC Buys Adobe Inc, NVIDIA Corp, Qualcomm Inc, Sells Fidelity ...",https://finance.yahoo.com/news/ayrshire-capital-management-llc-buys-223816505.html,GuruFocus.com
7,2022-01-12 08:15,Blackstone Announces Final Close for Fourth Capital Opportunities Fund,https://finance.yahoo.com/news/blackstone-announces-final-close-fourth-131500959.html,Business Wire
8,2022-01-11 14:55,Invenergy Announces Approximately $3 Billion Investment From Blackstone Infrastructure Partners to Accelerate Renewable Development Activities,https://finance.yahoo.com/news/invenergy-announces-approximately-3-billion-195508635.html,News Direct
9,2022-01-11 11:08,Blackstone-backed Candle Media acquires Faraway Road Productions,https://finance.yahoo.com/news/blackstone-backed-candle-media-acquires-160818520.html,Reuters
10,2022-01-11 09:00,"Faraway Road Productions Acquired by Candle Media, Next-generation Media Company Backed by Kevin Mayer, Tom Staggs, and Blackstone",https://finance.yahoo.com/news/faraway-road-productions-acquired-candle-140000646.html,Business Wire
11,2022-01-10 16:32,Blackstone Completes Senior Notes Offering,https://finance.yahoo.com/news/blackstone-completes-senior-notes-offering-213200435.html,Business Wire
12,2022-01-10 09:42,ClearBridge Investments: We Continued to Trim Blackstone (BX),https://finance.yahoo.com/news/clearbridge-investments-continued-trim-blackstone-144248969.html,Insider Monkey
13,2022-01-10 09:38,"Ferguson Wellman Capital Management, Inc Buys Brown & Brown Inc, Blackstone Inc, McDonald's ...",https://finance.yahoo.com/news/ferguson-wellman-capital-management-inc-143806099.html,GuruFocus.com
14,2022-01-10 07:00,Autolus Therapeutics announces 2022 priorities,https://finance.yahoo.com/news/autolus-therapeutics-announces-2022-priorities-120000793.html,GlobeNewswire
15,2022-01-07 13:00,Invenergy Announces Approximately $3 Billion Investment from Blackstone Infrastructure Partners to Accelerate Renewable Development Activities,https://finance.yahoo.com/news/invenergy-announces-approximately-3-billion-180000064.html,Business Wire
16,2022-01-07 12:26,Blackstone Invests $3 Billion in Invenergy for Clean Energy,https://finance.yahoo.com/news/blackstone-invests-3-billion-invenergy-172635828.html,Bloomberg
17,2022-01-04 20:03,"Westbrook Inc. Announces Strategic Minority Investment from Candle Media, Next-Generation Media Company Backed by Kevin Mayer, Tom Staggs, and Blackstone",https://finance.yahoo.com/news/westbrook-inc-announces-strategic-minority-235900354.html,Business Wire
18,2022-01-04 19:37,Candle Media Buys Stake in Media Company Co-Founded by Will Smith and Jada Pinkett Smith,https://www.wsj.com/articles/media-company-founded-by-will-smith-and-jada-pinkett-smith-nears-deal-to-sell-minority-stake-to-blackstone-backed-firm-11641327251?mod=itp_wsj,The Wall Street Journal
19,2022-01-04 17:45,Blackstone Inc. (BX) Dips More Than Broader Markets: What You Should Know,https://finance.yahoo.com/news/blackstone-inc-bx-dips-more-224510756.html,Zacks
20,2022-01-03 18:04,Blackstone Prices $1.5 Billion Senior Notes Offering,https://finance.yahoo.com/news/blackstone-prices-1-5-billion-230400842.html,Business Wire
21,2022-01-03 16:06,Top Financial Stocks for January 2022,https://www.investopedia.com/top-financial-stocks-4582168?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,Investopedia
22,2022-01-03 12:00,Byron Wien and Joe Zidle Announce the Ten Surprises of 2022,https://finance.yahoo.com/news/byron-wien-joe-zidle-announce-170000559.html,Business Wire
23,2022-01-03 09:11,Blackstone to Offer Senior Notes,https://finance.yahoo.com/news/blackstone-offer-senior-notes-141100729.html,Business Wire
24,2021-12-30 17:50,Blackstone Inc. (BX) Stock Moves -0.01%: What You Should Know,https://finance.yahoo.com/news/blackstone-inc-bx-stock-moves-225010990.html,Zacks
25,2021-12-29 09:48,Five Points apartment building sells for more than $148 million,https://www.bizjournals.com/denver/news/2021/12/29/alexan-arapahoe-square-trades-hands-denver.html?ana=yahoo,American City Business Journals
26,2021-12-27 23:38,"Advisors' Inner Circle Fund III Buys Devon Energy Corp, Johnson & Johnson, Exxon Mobil ...",https://finance.yahoo.com/news/advisors-inner-circle-fund-iii-043809452.html,GuruFocus.com
27,2021-12-25 14:38,"Massachusetts Investors Trust Buys Icon PLC, Ball Corp, Howmet Aerospace Inc, Sells Applied ...",https://finance.yahoo.com/news/massachusetts-investors-trust-buys-icon-193802540.html,GuruFocus.com
28,2021-12-25 12:38,"Usgi Global Luxury Goods Fund Buys Christian Dior SE, Goldman Sachs Group Inc, Starbucks Corp, ...",https://finance.yahoo.com/news/usgi-global-luxury-goods-fund-173802036.html,GuruFocus.com
29,2021-12-23 07:11,Griddle Maker Blackstone Products Joins Rush of Grill Firms in Going Public,https://www.thestreet.com/investing/blackstone-products-griddle-maker-to-go-public-via-spac?puc=yahoo&cm_ven=YAHOO,TheStreet.com
30,2021-12-23 06:17,"The Zacks Analyst Blog Highlights: Blackstone, Hewlett Packard, Tapestry, Broadcom and Atmos Energy",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-blackstone-111711814.html,Zacks
31,2021-12-22 06:36,Top 5 Steady Income Stream Stocks for an Unpredictable 2022,https://finance.yahoo.com/news/top-5-steady-income-stream-113611423.html,Zacks
32,2021-12-21 08:55,Blackstone Growth takes majority stake in Supergoop sun protection products company,https://www.bizjournals.com/bizwomen/news/latest-news/2021/12/blackstone-growth-takes-majority-stake-supergoop.html?ana=yahoo,American City Business Journals
33,2021-12-20 23:00,Blackstone Acquires Majority Stake In Supergoop,https://www.fool.com/investing/2021/12/20/blackstone-acquires-majority-stake-in-supergoop/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
