,Date,News Headline,Article Link,Source
0,2022-01-10 10:07,"Absci (ABSI) Inks Research Agreement With Merck, Stock Up",https://finance.yahoo.com/news/absci-absi-inks-research-agreement-150703004.html,Zacks
1,2021-12-28 00:38,"Syntax Etf Trust Buys Perrigo Co PLC, Unum Group, GameStop Corp, Sells Ligand Pharmaceuticals ...",https://finance.yahoo.com/news/syntax-etf-trust-buys-perrigo-053806844.html,GuruFocus.com
2,2021-12-27 23:38,"Advisors' Inner Circle Fund III Buys Washington Federal Inc, Supernus Pharmaceuticals Inc, ...",https://finance.yahoo.com/news/advisors-inner-circle-fund-iii-043808084.html,GuruFocus.com
3,2021-12-27 22:38,"DeltaShares(R) S&P 600 Managed Risk ETF Buys Ligand Pharmaceuticals Inc, Apollo Medical ...",https://finance.yahoo.com/news/deltashares-r-p-600-managed-033803070.html,GuruFocus.com
4,2021-12-27 10:04,Ligand (LGND) Stock Surges 60% YTD: What's Driving the Rally?,https://finance.yahoo.com/news/ligand-lgnd-stock-surges-60-150403914.html,Zacks
5,2021-12-26 08:39,Is Ligand Pharmaceuticals Incorporated (NASDAQ:LGND) Trading At A 27% Discount?,https://finance.yahoo.com/news/ligand-pharmaceuticals-incorporated-nasdaq-lgnd-133941200.html,Simply Wall St.
6,2021-12-22 08:00,Ligands Partner CStone Pharmaceuticals Receives Approval in China for Sugemalimab (Cejemly®) for the First-Line Treatment of Advanced Non-Small Cell Lung Cancer in Combination with Chemotherapy,https://finance.yahoo.com/news/ligand-partner-cstone-pharmaceuticals-receives-130000177.html,Business Wire
7,2021-12-21 16:01,Ligand and GSK Expand Global Collaboration and License Agreement,https://finance.yahoo.com/news/ligand-gsk-expand-global-collaboration-210100183.html,Business Wire
8,2021-12-20 01:17,Ligand (LGND) Moves 4.5% Higher: Will This Strength Last?,https://finance.yahoo.com/news/ligand-lgnd-moves-4-5-061706702.html,Zacks
9,2021-12-13 10:00,Sermonix Pharmaceuticals Announces Poster Presentation at the 2021 San Antonio Breast Cancer Symposium,https://finance.yahoo.com/news/sermonix-pharmaceuticals-announces-poster-presentation-150000963.html,GlobeNewswire
10,2021-12-08 17:38,"Inv Corp Small Cap Eq Index Fd Buys Ligand Pharmaceuticals Inc, Treehouse Foods Inc, Apollo ...",https://finance.yahoo.com/news/inv-corp-small-cap-eq-223804839.html,GuruFocus.com
11,2021-12-07 16:38,"Mutual of America VIP Small Cap Equity Index Portfolio Buys Ligand Pharmaceuticals Inc, ...",https://finance.yahoo.com/news/mutual-america-vip-small-cap-213802612.html,GuruFocus.com
12,2021-11-26 14:37,Ligand's (LGND) Drug-Developing Technologies Holds Potential,https://finance.yahoo.com/news/ligands-lgnd-drug-developing-technologies-193707863.html,Zacks
13,2021-11-15 11:38,Ligand Pharmaceuticals Insider Sold Over $480K In Company Stock,https://finance.yahoo.com/news/ligand-pharmaceuticals-insider-sold-over-163809066.html,Benzinga
14,2021-11-11 17:08,Ligand Pharmaceuticals Sees RS Rating Rise To 92,https://www.investors.com/news/technology/stocks-to-watch-ligand-pharmaceuticals-sees-rs-rating-rise-to-92/?src=A00220,Investor's Business Daily
15,2021-11-11 10:11,The SEC Wins Mixed Verdict Against a Short Seller Who Wouldnt Settle,https://www.barrons.com/articles/sec-trial-shortseller-51636584385?siteid=yhoof2,Barrons.com
16,2021-11-11 08:08,Ligand Pharmaceuticals (NASDAQ:LGND) Could Easily Take On More Debt,https://finance.yahoo.com/news/ligand-pharmaceuticals-nasdaq-lgnd-could-130805323.html,Simply Wall St.
17,2021-11-10 12:23,Ligand To Spin-Off OmniAb Platform Into Its Own Independent Company,https://finance.yahoo.com/news/ligand-spin-off-omniab-platform-172349009.html,Benzinga
18,2021-11-10 09:26,"Ligand (LGND) Beats on Q3 Earnings, Plans to Separate OmniAb",https://finance.yahoo.com/news/ligand-lgnd-beats-q3-earnings-142602906.html,Zacks
19,2021-11-10 00:32,Ligand Pharmaceuticals Incorporated (LGND) Q3 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/11/10/ligand-pharmaceuticals-incorporated-lgnd-q3-2021-e/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
20,2021-11-09 18:15,Ligand Pharmaceuticals (LGND) Beats Q3 Earnings and Revenue Estimates,https://finance.yahoo.com/news/ligand-pharmaceuticals-lgnd-beats-q3-231511599.html,Zacks
21,2021-11-09 16:02,Ligand Reports Third Quarter 2021 Financial Results,https://finance.yahoo.com/news/ligand-reports-third-quarter-2021-210200016.html,Business Wire
22,2021-11-09 16:01,Ligand Pursuing Plans for OmniAb to Become a Standalone Public Company,https://finance.yahoo.com/news/ligand-pursuing-plans-omniab-become-210100740.html,Business Wire
23,2021-11-03 05:51,"5 Biotech Stocks With 105% to 386% Upside, According to Wall Street",https://www.fool.com/investing/2021/11/03/5-biotech-stocks-105-to-386-upside-wall-street/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
24,2021-10-26 16:01,"Ligand to Report Third Quarter Financial Results on November 9, 2021",https://finance.yahoo.com/news/ligand-report-third-quarter-financial-200100602.html,Business Wire
25,2021-10-22 15:00,Analysts Estimate Ligand Pharmaceuticals (LGND) to Report a Decline in Earnings: What to Look Out for,https://finance.yahoo.com/news/analysts-estimate-ligand-pharmaceuticals-lgnd-190007909.html,Zacks
26,2021-10-21 13:13,Ligand Outlicenses BEPro Tech To Develop Oral COVID-19 Antivirals,https://finance.yahoo.com/news/ligand-outlicenses-bepro-tech-develop-171329388.html,Benzinga
27,2021-10-21 09:00,Ligand and CR Double-Crane Enter Collaboration Agreement to Develop an Oral COVID-19 Therapeutic Using Ligands BEPro Technology,https://finance.yahoo.com/news/ligand-cr-double-crane-enter-130000763.html,Business Wire
28,2021-09-27 09:55,Has Ligand Pharmaceuticals Incorporated's (NASDAQ:LGND) Impressive Stock Performance Got Anything to Do With Its Fundamentals?,https://finance.yahoo.com/news/ligand-pharmaceuticals-incorporateds-nasdaq-lgnd-135526312.html,Simply Wall St.
29,2021-09-22 17:10,Ligand Pharmaceuticals Stock Shows Rising Price Performance,https://www.investors.com/news/ligand-pharmaceuticals-stock-shows-rising-price-performance/?src=A00220,Investor's Business Daily
30,2021-09-20 12:47,Ligand Pharmaceuticals Stock Shows Market Leadership With Jump To 82 RS Rating,https://www.investors.com/news/technology/ligand-pharmaceuticals-stock-shows-market-leadership-with-jump-to-82-rs-rating/?src=A00220,Investor's Business Daily
31,2021-08-30 19:00,Performance Food Group & Digital Turbine Set to Join S&P MidCap 400; TreeHouse Foods & Ligand Pharmaceuticals to Join S&P SmallCap 600,https://finance.yahoo.com/news/performance-food-group-digital-turbine-230000648.html,PR Newswire
32,2021-08-30 16:01,Ligands Partner Gloria Biosciences Receives Approval in China for Zimberelimab for the Treatment of Recurrent or Refractory Classical Hodgkins Lymphoma,https://finance.yahoo.com/news/ligand-partner-gloria-biosciences-receives-200100667.html,Business Wire
33,2021-08-16 14:53,Ligand Partner Travere Therapeutics Announces Positive Topline Interim Results from the Ongoing Phase 3 PROTECT Study of Sparsentan in IgA Nephropathy,https://finance.yahoo.com/news/ligand-partner-travere-therapeutics-announces-185300455.html,Business Wire
34,2021-08-16 10:00,Sermonix Pharmaceuticals Completes Enrollment of Phase 2 ELAINE 1 Randomized Clinical Trial Assessing Efficacy of Oral Lasofoxifene Versus Intramuscular Fulvestrant,https://finance.yahoo.com/news/sermonix-pharmaceuticals-completes-enrollment-phase-140000271.html,GlobeNewswire
35,2021-08-05 09:11,New Strong Sell Stocks for August 5th,https://finance.yahoo.com/news/strong-sell-stocks-august-5th-131101253.html,Zacks
36,2021-07-30 10:46,"Ligand (LGND) Q2 Earnings & Sales Beat, 2021 Guidance Cut",https://finance.yahoo.com/news/ligand-lgnd-q2-earnings-sales-144602442.html,Zacks
37,2021-07-30 02:02,Ligand Pharmaceuticals Incorporated (LGND) Q2 2021 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2021/07/30/ligand-pharmaceuticals-incorporated-lgnd-q2-2021-e/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
38,2021-07-29 18:05,Ligand Pharmaceuticals (LGND) Q2 Earnings and Revenues Top Estimates,https://finance.yahoo.com/news/ligand-pharmaceuticals-lgnd-q2-earnings-220510489.html,Zacks
39,2021-07-29 16:01,Ligand Reports Second Quarter 2021 Financial Results,https://finance.yahoo.com/news/ligand-reports-second-quarter-2021-200100161.html,Business Wire
40,2021-07-28 16:00,Landing AI's LandingLens visual inspection software platform selected by Ligand Pharmaceuticals to further empower the OmniAb® and xPloration antibody discovery platforms,https://finance.yahoo.com/news/landing-ais-landinglens-visual-inspection-200000884.html,PR Newswire
41,2021-07-28 05:47,Would Shareholders Who Purchased Ligand Pharmaceuticals' (NASDAQ:LGND) Stock Three Years Be Happy With The Share price Today?,https://finance.yahoo.com/news/shareholders-purchased-ligand-pharmaceuticals-nasdaq-094731994.html,Simply Wall St.
42,2021-07-22 15:03,Ligand Pharmaceuticals (LGND) Earnings Expected to Grow: Should You Buy?,https://finance.yahoo.com/news/ligand-pharmaceuticals-lgnd-earnings-expected-190307118.html,Zacks
