,Date,News Headline,Article Link,Source
0,2022-01-05 07:46,Inhibrx Shares Interim Data On INBRX-106 - Keytruda Combo Therapy In Solid Tumors,https://finance.yahoo.com/news/inhibrx-shares-interim-data-inbrx-124642208.html,Benzinga
1,2022-01-04 16:05,"Inhibrx Announces Initial Phase 1 Dose Escalation Results for INBRX-106, a Novel Hexavalent OX40 Agonist, in Combination with Keytruda® (Pembrolizumab) Along with Updated Single Agent Data",https://finance.yahoo.com/news/inhibrx-announces-initial-phase-1-210500422.html,PR Newswire
2,2021-12-20 08:50,"Here's What Could Help Inhibrx, Inc. (INBX) Maintain Its Recent Price Strength",https://finance.yahoo.com/news/heres-could-help-inhibrx-inc-135001667.html,Zacks
3,2021-12-01 16:05,Inhibrx Receives FDA Orphan-Drug Designation for INBRX-109 in Chondrosarcoma,https://finance.yahoo.com/news/inhibrx-receives-fda-orphan-drug-210500656.html,PR Newswire
4,2021-11-25 09:08,Takeda (TAK) CMV Infection Drug Livtencity Gets FDA Approval,https://finance.yahoo.com/news/takeda-tak-cmv-infection-drug-140802969.html,Zacks
5,2021-11-24 10:31,Amryt (AMYT) Skin Disorder NDA Review Gets 3 Months Extension,https://finance.yahoo.com/news/amryt-amyt-skin-disorder-nda-153103213.html,Zacks
6,2021-11-23 10:00,"Wall Street Analysts Predict a 32% Upside in Inhibrx, Inc. (INBX): Here's What You Should Know",https://finance.yahoo.com/news/wall-street-analysts-predict-32-150003117.html,Zacks
7,2021-11-10 07:47,"Inhibrx (NASDAQ:INBX) pulls back 3.4% this week, but still delivers shareholders impressive 139% return over 1 year",https://finance.yahoo.com/news/inhibrx-nasdaq-inbx-pulls-back-124758542.html,Simply Wall St.
8,2021-11-09 18:45,"Inhibrx, Inc. (INBX) Reports Q3 Loss, Tops Revenue Estimates",https://finance.yahoo.com/news/inhibrx-inc-inbx-reports-q3-234511281.html,Zacks
9,2021-11-09 16:05,Inhibrx Reports Third Quarter 2021 Financial Results and Recent Corporate Highlights,https://finance.yahoo.com/news/inhibrx-reports-third-quarter-2021-210500129.html,PR Newswire
10,2021-11-05 15:00,"Inhibrx, Inc. (INBX) May Report Negative Earnings: Know the Trend Ahead of Q3 Release",https://finance.yahoo.com/news/inhibrx-inc-inbx-may-report-190007243.html,Zacks
11,2021-11-03 08:00,Inhibrx Announces Presentations at SITC 2021,https://finance.yahoo.com/news/inhibrx-announces-presentations-sitc-2021-120000161.html,PR Newswire
12,2021-11-01 17:51,Inhibrx Announces Participation in Upcoming Scientific and Investor Conferences,https://finance.yahoo.com/news/inhibrx-announces-participation-upcoming-scientific-215100848.html,PR Newswire
13,2021-10-28 08:30,"Inhibrx Strengthens Leadership Team with Three Key Executive Hires and Announces Appointment of Kristiina Vuori, M.D., Ph.D. to its Board of Directors",https://finance.yahoo.com/news/inhibrx-strengthens-leadership-team-three-123000047.html,PR Newswire
14,2021-10-12 12:22,30 Stocks Moving In Tuesday's Mid-Day Session,https://finance.yahoo.com/news/30-stocks-moving-tuesdays-mid-162224056.html,Benzinga
15,2021-10-12 12:11,Here's Why Inhibrx Stock Is on the Move Today,https://www.fool.com/investing/2021/10/12/heres-why-inhibrx-stock-is-on-the-move-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Motley Fool
16,2021-10-12 07:30,INBRX-101 Shows Favorable Safety Profile in Patients with Alpha-1 Antitrypsin Deficiency and Demonstrates the Potential to Achieve Normal Alpha-1 Antitrypsin Levels with Monthly Dosing,https://finance.yahoo.com/news/inbrx-101-shows-favorable-safety-113000696.html,PR Newswire
17,2021-10-11 16:05,"Inhibrx To Host Webcast Presentation of Interim Results from the Phase 1 Trial of INBRX-101, its Recombinant Human AAT-Fc Protein for the Treatment of Alpha-1 Antitrypsin Deficiency",https://finance.yahoo.com/news/inhibrx-host-webcast-presentation-interim-200500864.html,PR Newswire
18,2021-09-13 16:30,Inhibrx Announces Participation in Upcoming Investor Conference,https://finance.yahoo.com/news/inhibrx-announces-participation-upcoming-investor-203000789.html,PR Newswire
19,2021-08-12 01:37,"The Inhibrx, Inc. (NASDAQ:INBX) Second-Quarter Results Are Out And Analysts Have Published New Forecasts",https://finance.yahoo.com/news/inhibrx-inc-nasdaq-inbx-second-053704853.html,Simply Wall St.
20,2021-08-09 16:38,Inhibrx Reports Second Quarter 2021 Financial Results,https://finance.yahoo.com/news/inhibrx-reports-second-quarter-2021-203800206.html,PR Newswire
21,2021-06-22 06:49,"Inhibrx Launches Mid-Stage Bone Cancer Study With INBRX-109, Amends Loan Agreement With Oxford",https://finance.yahoo.com/news/inhibrx-launches-mid-stage-bone-104957689.html,Benzinga
22,2021-06-21 16:05,"Inhibrx Initiates a Potential Registration-Enabling Phase 2 Study of INBRX-109 in Conventional Chondrosarcoma Patients, Updates Data for Ongoing Phase 1 Study and Announces Amended Loan Agreement with Oxford",https://finance.yahoo.com/news/inhibrx-initiates-potential-registration-enabling-200500440.html,PR Newswire
23,2021-05-17 16:05,Inhibrx Announces Participation in Upcoming Investor Conferences,https://finance.yahoo.com/news/inhibrx-announces-participation-upcoming-investor-200500975.html,PR Newswire
24,2021-05-13 16:10,Inhibrx Reports First Quarter 2021 Financial Results,https://finance.yahoo.com/news/inhibrx-reports-first-quarter-2021-201000885.html,PR Newswire
25,2021-03-14 03:21,Inhibrx Surpasses 4Q Revenue Estimates; Street Remains Bullish,https://finance.yahoo.com/news/inhibrx-surpasses-4q-revenue-estimates-072130364.html,SmarterAnalyst
26,2021-03-12 09:00,"Inhibrx Reports Fourth Quarter and Fiscal Year 2020 Financial Results and Announces Phase 1 Single Agent Dose Escalation Results for INBRX-105, a Novel Targeted 4-1BB Agonist",https://finance.yahoo.com/news/inhibrx-reports-fourth-quarter-fiscal-140000778.html,PR Newswire
27,2021-02-01 17:42,Inhibrx Announces Participation in Upcoming Investor Conference,https://finance.yahoo.com/news/inhibrx-announces-participation-upcoming-investor-224200767.html,PR Newswire
28,2021-01-13 09:00,Inhibrx Granted Fast Track Designation for INBRX-109 for the Treatment of Unresectable or Metastatic Conventional Chondrosarcoma Patients,https://finance.yahoo.com/news/inhibrx-granted-fast-track-designation-140000916.html,PR Newswire
29,2020-12-10 18:24,Is INBX A Good Stock To Buy Now?,https://finance.yahoo.com/news/inbx-good-stock-buy-now-232448169.html,Insider Monkey
30,2020-11-13 16:10,Inhibrx Reports Financial Results for the Third Quarter 2020 and Announces Amended Loan Agreement with Oxford,https://finance.yahoo.com/news/inhibrx-reports-financial-results-third-211000110.html,PR Newswire
31,2020-11-11 16:05,Inhibrx Announces Positive Interim Results from the Phase 1 Trial of INBRX-109 in Chondrosarcoma Patients,https://finance.yahoo.com/news/inhibrx-announces-positive-interim-results-210500715.html,PR Newswire
32,2020-11-05 16:05,Inhibrx Announces Participation in Upcoming Investor and Scientific Conferences,https://finance.yahoo.com/news/inhibrx-announces-participation-upcoming-investor-210500895.html,PR Newswire
33,2020-08-25 12:17,"Oxford Finance Announces $10 Million Credit Facility with Inhibrx, Inc.",https://finance.yahoo.com/news/oxford-finance-announces-10-million-161700609.html,PR Newswire
34,2020-08-21 16:00,Inhibrx Announces Closing of Initial Public Offering of Common Stock and Full Exercise of Underwriters' Option to Purchase Additional Shares,https://finance.yahoo.com/news/inhibrx-announces-closing-initial-public-200000750.html,PR Newswire
