,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
0,GSL,40.193088838518975,"Global Ship Lease, Inc.",29.030000686645508,29.43000030517578,1004.83,34.61,1018.57,1.37
1,SRRA,0.0547186036578985,"Sierra Oncology, Inc.",30.1299991607666,32.2400016784668,1.37,0.05,1.61,17.52
2,SSL,5.5091808204926505,Sasol Limited,23.670000076293945,23.360000610351562,137.73,5.82,135.96,-1.29
3,WH,54.24301173733048,"Wyndham Hotels & Resorts, Inc.",83.9800033569336,82.79000091552734,1356.08,16.15,1337.06,-1.4
