,Date,News Headline,Article Link,Source
0,2022-01-19 15:01,Hess (HES) Reports Next Week: Wall Street Expects Earnings Growth,https://finance.yahoo.com/news/hess-hes-reports-next-week-200108454.html,Zacks
1,2022-01-19 13:38,"JCIC Asset Management Inc. Buys Cenovus Energy Inc, Franco-Nevada Corp, Shopify Inc, Sells ...",https://finance.yahoo.com/news/jcic-asset-management-inc-buys-183819568.html,GuruFocus.com
2,2022-01-12 17:38,"Adams Asset Advisors, LLC Buys ViacomCBS Inc, Altria Group Inc, AT&T Inc, Sells Wells ...",https://finance.yahoo.com/news/adams-asset-advisors-llc-buys-223808793.html,GuruFocus.com
3,2022-01-06 13:58,UPDATE 2-Hess will switch to 'return of capital mode' - CEO,https://finance.yahoo.com/news/1-hess-switch-return-capital-185834670.html,Reuters
4,2022-01-05 12:34,Hess (HES) Surges 9.6% YTD: More Room For Upside Left?,https://finance.yahoo.com/news/hess-hes-surges-9-6-173405811.html,Zacks
5,2022-01-05 08:36,Hess Announces Two Discoveries Offshore Guyana,https://finance.yahoo.com/news/hess-announces-two-discoveries-offshore-133600074.html,Business Wire
6,2022-01-04 16:00,Hess Schedules Earnings Release Conference Call,https://finance.yahoo.com/news/hess-schedules-earnings-release-conference-210000711.html,Business Wire
7,2022-01-04 15:04,Hess to Participate in Goldman Sachs Global Energy and Clean Technology Conference,https://finance.yahoo.com/news/hess-participate-goldman-sachs-global-200400226.html,Business Wire
8,2021-12-27 09:34,Global 2021 Oil and Gas Finds to Hit Rock-Bottom in Decades,https://finance.yahoo.com/news/global-2021-oil-gas-finds-143402133.html,Zacks
9,2021-12-15 08:59,10 Oil Stocks in Billionaire Ken Fishers Portfolio,https://finance.yahoo.com/news/10-oil-stocks-billionaire-ken-135932678.html,Insider Monkey
10,2021-12-13 08:38,Hess Achieves CDP Climate Change Leadership Status,https://finance.yahoo.com/news/hess-achieves-cdp-climate-change-133800446.html,Business Wire
11,2021-12-11 18:19,Here is What Hedge Funds Think About Hess Corporation (HES),https://finance.yahoo.com/news/hedge-funds-think-hess-corporation-231921200.html,Insider Monkey
12,2021-12-10 13:56,REFILE-Exxon proposing to build supply depot for Guyana project,https://finance.yahoo.com/news/exxon-proposing-build-supply-depot-185627182.html,Reuters
13,2021-12-10 13:38,"Forethought Variable Insurance Trust Buys Agilent Technologies Inc, NetApp Inc, CrowdStrike ...",https://finance.yahoo.com/news/forethought-variable-insurance-trust-buys-183803495.html,GuruFocus.com
14,2021-12-08 16:47,"Hess CEO: Shale was the major culprit for lower oil prices, less upstream investment",https://www.bizjournals.com/houston/news/2021/12/08/john-hess-shale-upstream-underinvestment.html?ana=yahoo,American City Business Journals
15,2021-12-08 09:15,7 F-Rated Dividend Stocks You Shouldnt Get Suckered Into,https://finance.yahoo.com/news/7-f-rated-dividend-stocks-141538312.html,InvestorPlace
16,2021-12-01 16:15,Hess Announces Regular Quarterly Dividend On Common Stock,https://finance.yahoo.com/news/hess-announces-regular-quarterly-dividend-211500516.html,Business Wire
17,2021-12-01 14:16,26 cheap stocks to buy now that Omicron has hammered markets: Wells Fargo,https://finance.yahoo.com/news/26-cheap-stocks-to-buy-now-that-omicron-has-hammered-markets-wells-fargo-191634430.html,Yahoo Finance
18,2021-11-30 20:00,Can Libya Become A Global Oil And Gas Power Once Again?,https://finance.yahoo.com/news/libya-become-global-oil-gas-010000115.html,Oilprice.com
19,2021-11-24 08:54,ConocoPhillips (COP) to Acquire Additional Waha Assets in Libya,https://finance.yahoo.com/news/conocophillips-cop-acquire-additional-waha-135401679.html,Zacks
20,2021-11-19 07:08,Investing in Hess (NYSE:HES) a year ago would have delivered you a 74% gain,https://finance.yahoo.com/news/investing-hess-nyse-hes-ago-120843614.html,Simply Wall St.
21,2021-11-16 13:09,Hess Recognized for Sustainability Performance,https://finance.yahoo.com/news/hess-recognized-sustainability-performance-180900073.html,Business Wire
22,2021-11-15 08:14,10 Best Crude Oil Stocks to Buy Today,https://finance.yahoo.com/news/10-best-crude-oil-stocks-131431257.html,Insider Monkey
23,2021-11-12 13:12,Hess to Participate in Bank of America Securities 2021 Global Energy Conference,https://finance.yahoo.com/news/hess-participate-bank-america-securities-181200565.html,Business Wire
